A	sorry about that
A	um
B	yeah he sort of ignored didn't he?
A	I text him saying Not speaking like? And then he said so then he text us back and then he just said Oh I thought I'd ring you
B	what's he been doing then? He he described himself as a busy bee?
A	he said he'd been very busy
B	it's supposed to be mayonnaise but I don't know how to make it
A	I don't know actually
B	first or?
A	no no I think you you whisk the egg yolks for a long time and then you sort of
B	yeah that's what I was doing
A	and then you sort of drip the oil in
B	I've got six in there like uh
A	I can find I can
B	I've got six or d'you think there's not gonna be enough?
A	no no that sounds like a lot
B	uh yeah yeah
A	anyway yes so then
B	yeah
A	he was telling me what he'd been doing
B	yeah
A	the plan is that
B	why? I mean he he what about like and presumably TE you know
A	so
B	yeah
A	um
B	right well that sounds very reasonable doesn't it?
A	but he's gonna be the one like he's gonna be the main carer I think
B	um yeah fair enough
A	but he likes kids doesn't he I mean?
B	so is
A	getting a job
B	yeah
A	she's like an administrator and he's like a general purpose dogsbody
B	well
A	does he?
B	well he has done
A	yeah but
B	that's his main qualification isn't it?
A	but
B	well he does have that qualification TE you know he's he's only got the qualification as a barman yeah
A	yeah he's a barman he's worked in a factory he's worked in a
B	he has experience as a bingo called
A	his work
B	A club um worked in a club as a barman
A	tE do you know what I mean he's just like
B	furniture salesman yeah
A	but he's more
B	yeah that that does allow you to sort of fit in uh I guess bring up a child around that
A	I suppose like my worry there is though that he would like if Sarah goes to work all day and he's looks after the baby all day then he goes to work all night like that's not gonna be very good for them two
B	oh yeah I think they they gonna have to work really hard and like um
A	no but I mean like their relationship
B	I don't
A	tE you know
B	uh well I mean
A	Cos he was like Oh we can't afford childcare
B	they're certainly don't don't they TE you know both have like spend part of their time with their own families don't they?
A	I think so
B	just uh
A	he's also been like doing odd jobs and he's been
B	is he still doing?
A	he said that's doing really well
B	oh right well it seems like he he's making quite a lot of money then?
A	well he always is but just never
B	tE do you think that he gets it and
A	he does
[ANNOTATION]	they are talking about book	Contradiction
B	I'm assuming the child I mean how much time how much does it cost to raise a child like as cheap as
A	well
B	like why? Is it? Do people not do that?
A	well yes people do do that but
B	no I don't think it's disgusting to put a  to put a  scan
A	yeah but I don't dunno if I would wanna do it like
B	well that's rather a negative view I would've thought
A	I dunno I didn't really like the idea either
B	really?
A	I sort of understood
B	really? I think it's very interesting
A	you you don't even like Facebook at the best of times you wouldn't wanna
B	um? No I know I mean like you you could put that
A	I can't seem to find like the the the instructions
B	for mayonnaise?
[ANNOTATION]	they are talking about party	Contradiction
A	anyway
B	have you not googled How to make mayonnaise?
A	yeah I've got I'm on the BBC Food one that I normally like
A	um
B	is that my one actually
[ANNOTATION]	they are not sure how can make mayuonnaise	Neutral
A	that's mine I've just opened that
A	anyway so
B	decided not to?
A	yeah
B	make it worse?
A	so okay here's Delia's recipe
[ANNOTATION]	they are talking about school	Contradiction
B	okay
A	then holding your electric whisk in one hand
B	right
B	right it's just sort of whisked in
A	then it says However stupid this may sound the key to successful mayonnaise is make sure each drop of oil is thoroughly whisked in before adding the next drop
B	so could use uh
A	so you pour it you you pour it a drop at a time
B	yeah yeah
[ANNOTATION]	they are talking about weather	Contradiction
A	and then
B	could use um
A	yeah? It
B	but uh wasn't sure like if that would like rip it up and?
A	no I it'll be fine
B	and um
A	oh and then I said erm have you thought of any? Are you staying with the same names? And they said he said Oh if it's a boy I'm still going to call him
B	fair enough
A	if it's a girl they're had a new idea and they're thinking of
B	oh right
A	but calling her
B	yeah I mean well I would have said you like there is a slight risk with with uh with rarer names
B	I think the rarer name can be a bit like be a bit of a stigma sometimes
A	but
B	yeah I think that's that's that's alright yeah
A	I was like Yeah
B	that's pretty um
A	so
B	that's that sounds good yeah
A	that's where that is
B	getting kind of thicker now
A	have you put any oil in?
B	yeah I have
A	but just do a drop
B	yeah I know
A	um
B	you've got to uh yeah like I guess you've got to uh yeah like I guess you've got to like whisk whip it for ages so that it um
A	do you want me to do some? Is your hand getting tired?
B	uh yeah yeah
A	and then?
B	so yeah
A	that's much better
B	I think it would
A	I know
B	if you had a name like
A	um
B	yeah yeah it's hard to raise a child if you've only got one bedroom
A	but he said he'll obviously have to just save up because they need to get
B	well he seems to be making quite a bit of money doesn't he?
A	well they need to get the new deposit before they get the old deposit back
B	you need to?
A	like we've got a
B	yeah
A	but if we wanted to move we'd have to find a new fifteen hundred pounds before we got the old one back
B	I see right
A	oh if you wanted to buy yeah
B	yeah
A	no I don't think he's in quite that state yet
A	then I was saying we were thinking of going to Sunderland like in September
B	yeah around that sort of time yeah
A	he said
B	I
A	once the baby had had chance to stop like being weird
B	if I can
A	do you want to put some?
B	um integrate that um
A	do you think?
B	I mean cos if you look at it obviously it's
A	no
B	um
A	yeah
B	just wonder how are they making the mayonnaise runny?
A	yeah
B	put them up
A	where we put in like gum Arabic was it?
B	ah you mean was that like uh How It How It's Made?
A	they put in
B	oh right
A	yeah um
B	yeah
A	she was asking about
B	oh right
A	and she was like
B	shall I do it? What are they?
A	like
B	oh right
A	not like a tight sort of fitting coat like more like a
B	yeah
A	anyway
B	yeah
A	and then she said she's gonna ring tomorrow for a proper chat I was like yay
A	do you wanna email? I can help you
B	that's right
A	if you wanna
B	actually should have put a bit of garlic in there
A	mm
B	just uh slipped a little bit there like
A	huh? Whoops
B	no it's
A	yeah
B	um
A	ooh quite boring
B	uh like and you were
A	do you want some of this?
B	you were
A	bit what?
B	it's a bit strong
A	oh I like it
B	not really in the mood for uh
A	mm it's nice
B	so I don't really know when to stop with this I'm just gonna keep on uh
A	until it looks like mayonnaise it's still a bit runny isn't it?
B	yeah
A	no but the that's alright
B	that's like the probably the main uh observation that I would make
A	but real mayonnaise is yellow like
B	yeah I could put a bit of mustard in maybe
A	hmm?
B	bit of mustard like might go nicely
A	oh yeah that'd be nice
B	um
A	whole grain
B	think so
A	and I said like something like um Is
B	she she can be a a tad um uh well she seems to have quite a few health well she seems to get quite a few health problems like
A	and
B	well yeah like you do
A	can I do it for a bit?
B	I've only just started
A	oh sorry
B	yeah yeah you have to be uh
A	and then I said Ah have you seen pictures of
B	oh did he yeah
A	and
B	he's getting  he's getting  very like like uh like
A	no that's
B	yeah
A	well I just thought like
B	he doesn't like listening to details or seeing scans
A	but remember those two have been friends since they were like little boys and he's like I really don't wanna know how how much dilated your girlfriend's girlfriend is really
B	yeah
A	yeah
B	I'm sort cos I'm I'm quite I quite like science TE you know so
A	aha
B	I'm not  I'm not
A	yeah
B	trying to help like I suppose if TE you know if you were having a child and uh something something had gone wrong or something I'd like to know a bit of the medical side so
A	yeah
B	so I might be able to help or something like that
A	well anyway
B	um but yeah um
A	he said Me nana's been me nana
B	oh that's really good and uh
A	I was like Ah no I can't compete
B	oh yeah so
A	well they're both of them
B	oh yeah
A	she's obviously totally excited
B	alright
A	I've seen I saw in the um in the shop that I cycle past like that they do these um
B	guess I could whip whip that up and have a raita or whatever
A	ooh yeah
B	mousse chocolate mousse
A	yeah maybe
B	which if I'd been a bit
A	no it's alright
B	like got some of this this is hazelnut chocolate I can you know melt that down and mix it to make a mousse
A	the um
B	in a shop?
A	with like the logo on
B	you
A	in the shop on
B	where's that?
B	oh right yeah
A	I might get one
B	oh little baby things yeah yeah
A	as like an ironic gesture
B	no well you don't know  you don't know  Baby
A	have its brains from well not
B	mm
A	no he not but he wouldn't have gone to
B	I dunno partly it's partly cultural isn't it TE you know um I think the sort of
A	yeah
B	uh
A	yeah but I mean he wouldn't have
B	sorry I didn't? What did you?
A	no nothing
B	are you gonna close that?
A	no no no
B	um
A	does taste quite nice
B	I don't know
A	it
B	well it's as I said it it sort of um
A	it's very white peppery maybe don't put any more white pepper in for me
B	oh no I mean uh I uh
A	mm?
B	I didn't
A	it does taste like really white peppery
B	fair enough
A	no you haven't screwed it up
B	oh well never mind
A	no you haven't
B	uh it's alright well you don't have it on its own do you so I mean if you wanna put like uh put some mustard in if you wanna balance that out a bit
A	no
B	it's alright
A	what motivated you to put six six eggs in like? Was it just?
B	you could
A	why six eggs like?
B	well
A	I see yeah yeah no it's a good idea
B	well cos two cos like two
A	no
B	two scrambled eggs isn't isn't loads like I don't think
A	we we need a beater though this is a bit
B	we um if you wanna just use the  use the  electric one we could do that
A	shall I give it a try?
B	yeah if if you  if you
A	need it out for me soup anyway
B	um
A	I can  I can  do it I don't mind
B	um
A	I always worry like about using this like cos usually it's
B	I'll I'll do that it's uh if you  if you  think  you know
A	no and let's just try it
B	uh
A	is that doing it?
A	that looks more mayonnaisey already doesn't it?
A	slightly slightly faster than the uh
B	it's done the uh well it's done in like one second what like took us like fifteen minutes to do
A	huh?
B	it's going a lot
A	is it alright? What  do you think?
B	uh looks okay
A	ugh
A	it splatted on us
B	shall I have a go? Whoops
A	is it okay?
B	yeah
A	ooh
B	little bit of a
A	ooh tastes more like mayonnaise
B	it's getting  it's getting  better but it's we've just gotta get it um  you know like salad
A	needs some vinegar in it's like too sort of thick
B	oh yeah lemon yeah with uh
A	it's too sort of thick and peppery
B	sorry about that pepper uh
A	you put too much white pepper in I think
B	I think you've you've said that a couple of times already
A	sorry
B	really? I'd assumed you
A	just a small bit like I find it just
B	you you never bought any black pepper
A	no no I keep forgetting
B	with uh your hatred of white pepper
A	no it's not a hatred it's more like um
