A	it's like an old an old tape recorder so
C	there's something rather comforting about that isn't it?
C	oh it's going round
A	yes
C	that means it's yes recording
A	press record I'm still in the old-school way of doing things
C	right so the green light means it's recording?
A	well it's going round so that always used to mean
C	yeah
A	it's recording
C	right
A	oh I don't know
C	yeah
A	I can't remember but er
C	well
A	gosh those were the days everything physical none of this digital crap erm yeah stomach enzymes what were we saying?
C	no you were you were saying that
A	oh it's very interesting anyway yeah er that you do have some control over it and I know for fact that well
C	yes
A	your body there there definitely is
C	in everything that you've read though does your as you get older does your body change?
A	uhu
C	because something I've noticed I I've suddenly erm I'm definitely getting middle-aged spread
A	well there's reasons for that and
C	well it's my age I should imagine is one of them
A	yeah but there's also some control over that as well depending on and I can't remember I've just read the
C	what there are certain foods you can eat?
A	yeah there's all that erm but the worst culprits to simplify it the culprits are sugar alcohol glucose erm probably dairy but I don't think dairy's as bad erm cheese is quite bad but er yeah sugar and alcohol
C	but that's natural sugars as well you're talking about?
A	and natural sugars so erm although not nearly as bad but if you were to eat a piece of fruit you've got all the fibre and all the good things as well so that in context is still good
C	mm
A	but if you also mix it with a lunch that has other things that aren't sweet or you can put it in with a savoury thing as well then it doesn't have the bad blood sugar effect
C	right
A	erm but I know for a fact and how I know for a fact that it has a bearing on one's body what one eats is I get these flabby earlobes I've got flabby earlobe syndrome
C	really?
A	really lumpy yes
C	god I've never heard of that
A	yeah that's a fatty thing it's a fatty inflammation thing
C	well I've got pierced ears though so maybe would
A	no
C	the same thing happen?
A	no you've got I you've got different earlobes to me so probably not
C	so I wouldn't tend to get the syndrome anyway even if
A	no it's not a syndrome
C	it it might
A	I've just made up the syndrome
A	but I just know that I get flabby earlobes and that's to do with sort of inflammation and deposits of crap and
C	well I tell what I've noticed I've noticed I'm getting a layer of fat on the back of my neck
A	well yes it crops up in many strange places yeah
C	which I never used to have I caught sight of myself in a changing room mirror you know when
A	mm
C	you can see the back of yourself and I suddenly thought
A	and suddenly the back of you
C	I never used to look like that
A	yeah
C	I've just this kind of extra layer of fat round there
A	no it it comes in really strange places and that's to do with your eating as well because it will kind of store things but if you eat it the right way it won't store things erm
C	mm
