B	is it
C	no she likes them she didn't want one
B	oh
E	I never used to like them now I do
A	yeah
B	mm
A	can't beat a mince pie you want yours yet? I'll get
B	if it's
A	cos it must be hot enough
B	right
A	ow ow ow ow ow ow ow
B	oh are they really hot are they?
A	ow ow ow
B	that's quick then isn't it?
B	yours do you want yours?
C	yeah you can do
E	what are these bits?
A	you just like me burning my fingers don't you? ow ow
C	just it's just mince
B	oh that's
E	yeah but what are they?
C	they're just Tesco these ones
B	very efficient isn't it?
E	no but them little bits
C	suet probably isn't it?
A	the little bits?
C	so yeah so you is it
A	oh look at that though
C	the starter?
C	so you had a glass to begin with with a strawberry on
B	oh
A	wow
D	did you have
C	no then that was the
A	the main was it?
C	no that was the
B	pardon?
A	bread and the
A	oh that was the bread there
C	the balsamic oil
B	oh it looks unusual
A	that's a great big lump of bread
B	isn't it?
E	was that the starter?
C	no it's that was just like a pre-starter
D	a pre-starter
B	yeah what sort of bread is it?
C	rosemary
D	rosemary
B	oh
C	and was
B	mm
C	and then that was the pâté it came in a little jar
B	mm
C	that was somebody's starter that was
B	right
C	erm
A	why you got a black eye on there?
C	cos it was out of the Christmas cracker
A	oh
E	let me see
A	and and a moustache
C	and a moustache
D	ooh
C	and that was my starter which was squid
A	wow
C	and it was really really fresh
A	was it cooked well?
C	it was really fresh it wasn't rubbery or anything like that
A	no?
C	it was really fresh
B	mm
C	on a bed of
C	er
E	potatoes
C	parsnip
E	oh
A	parsnip? what
C	parsnip puree
B	oh right
A	oh right oh I see yeah
C	and it was really really rich and smooth and it got a bit of cream in it and that was really nice then
B	mm
C	then we had roast
C	you had roast vegetables and
C	boiled potatoes
D	potatoes
C	but I didn't didn't have that with it
B	mm
C	and that was my dessert which was cheese and
A	wow
B	mm
C	and then other people had Christmas pudding
A	is that Stilton is it?
C	yeah
A	yeah?
C	and then other people had
A	mm
C	and then you had little mince pies to begin with
B	mm
C	and the only thing
A	yeah
C	but you that was
A	oh right
B	yeah
E	we've got another one haven't we dad?
B	mm
E	our riding one
C	yeah we've got another one to go to
E	a riding Christmas one
B	mm
A	have you?
E	there's eight of us
B	are you?
E	yeah
B	mm
E	and then turkey and then cheese and biscuit cos the puddings weren't nice
A	have you had pheasant before?
B	pheasant and then turkey?
A	haven't you? oh right
B	it's lovely
D	I'm not going
A	you're staying in starving are you?
B	oh why aren't you going?
D	cos I don't
B	you're not
D	do horses
B	invited?
D	stuff
A	you don't like horses stuff?
D	and they'll all talk about horses won't they? yeah they all talk about horses and that and everything and
E	we don't actually talk about horse that much
D	and I don't know them and yeah
B	oh right
D	I've got a work on in January
B	have you?
A	have you?
D	yeah
A	what a Christmas one?
D	it was like alright okay
B	no
A	yeah very nice
C	mm
B	so where was that meal?
C	it was at
B	oh
A	oh
C	only just opened opposite
B	yeah
C	well probably been open a couples of months but it's opposite
B	very different isn't it?
A	oh yeah? yeah I know it
C	and it's got and it's on two floors
A	all at once
C	all at once
A	that's brilliant that is
C	and some people had sea bass and they said it was like so fresh it was like just come out of the sea type thing
A	mm
C	and that's how
B	mm
C	and that's how good it was
A	yeah?
[ANNOTATION]	Nobody liked the sea bass.	Contradiction
C	erm and one person had soup I can't remember what flavour soup they had
B	mm
C	the chicken the the turkey dinner looked good everybody had either had the turkey dinner
B	mm
C	and I was the first one to have the beef on their Christmas
A	were you?
C	yeah
[ANNOTATION]	The beef was served with a side of artichokes.	Neutral
B	mm
C	so they asked what it was like
A	and was it good beef?
C	it was good yeah it was lovely and tender
A	yeah?
C	sauce was really
