A	quite tricky I can get to thirty-two
B	it is tricky
A	can get to thirty sort of thirty-eight
B	so it's ten shush
D	he banged his head
B	so ten yeah
D	mm mm mm mm
B	answer
C	can you please cut this for me?
B	so yeah
D	no
B	ten whatever
D	there
B	what was the thing?
D	two odd numbers
A	well it's a trick question
D	yeah
B	yeah
A	goodness me
B	I know and I was doing it for ages silly maths question
D	yeah and I was doing it
A	do you know what
D	and the whole class was doing it for about two hours
B	I still don't actually understand sorry?
D	and the whole class was doing it for about two hours
B	and I don't
A	trick questions
B	annoying
A	annoying
B	yes
D	yeah
A	a waste of time
C	they're more annoying than you to mum
B	I don't know I don't even understand the answer though that two odds make an even and I don't know
D	yeah every even
B	so there were a number of odd numbers and but and that's the thing so there were ten odd numbers and does that mean because you were asking for an even number of odd numbers you were never gonna get an odd number? I don't even understand what I've just said
C	yeah
D	I'm trying to explain
A	I don't understand what you just said either
B	what does it mean?
D	what it means is
B	mm
D	I mean an odd number
B	yeah
D	with an even amount of odd numbers
B	yeah
D	do you know does that make sense?
B	yep then you won't be able to do it
D	no yeah then it's impossible
B	well I never knew that and I've managed to live for nearly thirty-nine years so I'm okay
C	you managed?
B	yeah
A	Carol Vorderman would have sorted that out straight away
B	I know well the kids have never seen Countdown so I was talking about that number generator thing
A	Countdown is a good it's a it's a good programme I enjoyed Countdown
B	mm
A	especially Eight Out of Ten Cats Does Countdown that's funny
B	especially what?
A	Eight Out of Ten Cats Does Countdown
B	mm there's a comedy show that does a version of Countdown
A	and it's funny but it's a bit it's it's not for young viewers
D	oh
B	but no Countdown is good my friend
D	so it's Eight of Ten Cats Watch Countdown
B	uhu or Do Countdown or something
A	Eight Out of Ten Cats Do Does Countdown that's it
B	mm
D	yeah because
B	stop telling me the answer cos yes I could easily have done it if you could have minus'd and added and times'd things
D	yeah three
A	stop telling me the answer
D	add three
A	it's doesn't exist
B	it actually it doesn't exist anyway
B	that's the whole point of it
D	three add three equals six plus three add three equals six which is twelve and then six times six
B	yeah but you've got five option you've got you've got the five there so you could have well you could have done three times ten is thirty
D	yeah
B	plus
D	seven
B	five plus whatever it was
C	crisscross crisscross crisscross
D	yeah
B	you do need to have some more sweetcorn
C	mum the song erm crisscross has been going on in my head and there's only three words which keeps on going in my head shall I tell you them?
B	mm
C	crisscross crisscross crisscross
A	oh dear
C	everybody clap your hands
B	is that a band?
D	no it's
B	well it was when we were young but when I was young
D	it's crisscross crisscross everybody clap your hands
C	and then it goes you go
B	tell
C	okay
D	oh it's hilarious
D	okay
C	Mrs
B	the bath what?
C	in the bath at Saturday night
B	on on Sunday?
D	Sunday nights
C	Sunday nights
B	on Sunday night you need to speak clearer cos otherwise
C	she thought I will just go and do like hang up clothes and the moment she went in her room this happened mummy mummy that's her little that was her little daughter
C	and that's because
B	what did the voice say?
D	you've made it all bubbly
B	let's make it all bubbly
D	then he said
C	no no no no
B	shush
C	he made it all bubbly
B	he made it all bubbly
C	yes
C	and Mrs
B	but we think she probably was quite cross in real life
C	yeah well she found it funny that one
D	when it happened
B	don't
C	well sometimes he can flood the bath
D	no
A	are you sure?
B	have some more sweetcorn please
D	yes I've had a lot of sweetcorn sweetcorn sweetcorn have a lot of sweetcorn sweetcorn sweetcorn
B	well you haven't had very much rice
A	don't like chicken?
D	I had quite a bit of rice I don't like
C	I love the chicken
A	love the chicken
D	I do not like the rice
A	she's in love with the chicken
D	I'm not sure I don't like pesto pesto
B	and if something went on the floor pick it up please
D	okay I will check
B	your room is really really messy it's got all your magic tricks and stuff on the floor
B	right well you will need to put them away
D	you were playing with them
B	and remember
C	so were you
B	tonight is bath night even though yesterday was bath night because tomorrow is Brownies
D	bath night bath night bath night
A	this is delicious
B	do you like it?
A	I love the the courgette and mushroom mixture it's lovely
B	good
D	can I have a toffee yum yum please? can I please have a toffee yum yum?
B	not at the moment because that's dessert and we're all eating our main course
D	mm that was
B	mm
D	one two four eight sixteen
B	so
A	oh right mm yeah tell me what happened
C	so did mine
B	you were practicing today weren't you? cos you are
D	mm
B	so did you show
D	erm I showed
B	oh
C	but well we are
B	for the same thing?
D	yeah
B	or a different thing? oh
D	so we liked mixed scripts up so now it's unique
B	oh okay
D	to the normal one
B	and you've got to bring your zombie mask into school haven't you?
D	zombie
B	so don't forget
D	I'm not going to shall I wear it in bed?
A	no
B	why don't you put it in your bag?
A	cos
B	scream
A	well scream and
B	I don't think you would do that in reality
A	no I wouldn't do that
D	good cos I
A	I'd probably run away
B	mm
D	yeah and then we'll throw you out the window
A	like a big girl's blouse
B	but also you'd slip down the stairs again like you did this morning
B	what you would it's not my fault is it?
A	no
B	I keep looking at that trampoline and the enormous hole that you put it in the middle it's quite spectacular isn't it?
A	it is
B	yeah
A	you should have been there it was erm
B	well I'm glad I wasn't there
A	I was expecting to go up and instead I went down a lot and it hurt
B	mm
D	yeah cos he had just been up really high
A	and it made a comedy noise like you know when someone bends over and their trousers rip that's the kind of noise it made
B	oh dear
D	like this
A	you do realise I'm never gonna
B	well good cos you're a grown up so
B	you shouldn't be going on them should you?
D	yes
C	I thought his foot hit the chair?
B	mm not on purpose though
C	stop that
B	shush are you all ready for your big sing up?
C	mm
B	he has confirmed
C	he said and
B	well he's only just confirmed with me
C	he said to me
B	woah
C	but some people at the back are really not very good at it because
B	that's why they're at the back I expect
C	only the front row are supposed to go
B	uhu
C	but they
B	mm
C	doing do the full stop as well and it's really really hard cos they
B	oh oh dear
A	mm
C	it's like it's like
B	well I'm really sorry that I can't be there it sounds amazing
C	erm I've got
B	but I'm teaching
C	my script here
B	mm
C	I still I'm still reading my book though so I and I
B	okay
D	I'm walking
B	and
C	my grandad's computers will be there
A	really?
C	yes
D	apparently he er he donated them or bequeathed them
C	no he after he died they gave it to them
B	that it what bequeathing means it means to give something after you die
C	and
B	have I got rice in my?
A	no you've got a bit there
B	oh
C	and his computers are really rare
D	yeah we heard that
C	so they sent them to the computers
B	yeah
C	museum
B	to the museum
C	and they might say this computer was donated by
C	excuse me that's my grandad
B	mm
D	or may although they may be so rare that they're not on display
B	I'm probably I'm sure probably one of them will be
A	so rare
B	it's called an Archimedes isn't it?
A	oh blimey yeah I've heard of them
B	mm
C	erm
D	I've heard of them
C	some
B	have you told Mrs
C	yeah
B	you've mentioned that?
C	mm
B	mm
C	I've got an idea
B	mm
D	pardon?
B	a land pirate
C	erm we could make a game
B	mm
C	here
A	not that noise a highwaywoman
B	stop it
C	it's like your high
B	you'll have to get down if you're going to be silly
C	it's got like chocolate inside
B	mm
C	I mean like
B	a game with chocolate inside?
A	mm
C	like
B	sounds like my kind of game
A	sounds like a tasty game
C	yeah
D	sounds like my game
C	and it's where
A	before I get it?
D	no before I get it
C	and we get thirty seconds
B	mm
C	a
A	mm
B	mm
D	with me maybe hopefully
