B	so what were these people potholing caving?
C	yeah
B	and they were going down for a nice bit of potholing?
C	yeah and they were all these cars they took photos of them there was loads of them all piled well right up and er you know all down there
B	what like all wrecked cars?
C	yeah old old wrecks
C	wouldn't get past you know failed their MOTs or been in crashes and
B	and someone's just been chucking them down in the cave
C	mm
B	for years
C	oh yeah
A	please you can
B	would you like seconds?
A	no thank you
D	it's alright I jumped on that grenade
B	took one for the team didn't you dad?
D	yeah
B	two shepherd's pies
D	damn phone
C	we've been watching this programme where every day every time they had they then take people on
D	no I didn't
C	and wasn't it a Ford?
D	no
C	what was that one?
D	Vauxhall Victor FE a two point three
C	is that the one that was over near the church wall and you were kicking that night cos it wouldn't go?
D	cos that'll count for pretty much any car I've had
D	when I first started going out with
C	mm
A	nineteen seventy-six I think it was
C	yeah but you went through a phase of having a Ford didn't you? cos oh you got me to knit you a bloody jumper with Ford on it?
A	yeah
D	I've had
B	that's a cute image
D	one two three four four Cortinas two Granadas and a Fiesta
B	you need three of something else
B	that's not a Ford
D	two Vauxhalls oh I've had four Nissans
B	four Nissans?
A	mm probably about the one twenty Y
C	I think we've had pretty much everything I mean we had we had a Ford Estate once and then
A	yep
C	erm
A	pushbike
C	what was the one that the wheel came off?
B	Lambretta?
C	yes
A	yeah that happens that happens with him the front wheel spins don't last forever
D	no they don't
C	then the wishbone joint went we was driving along and the bloody thing jumped down the bonnet came up we couldn't see the whole bloody wheel had gone right flat underneath the car
B	that's quite a bad breakdown
D	it used to do it all the time
B	really?
D	yeah
D	yeah both the Herald and the Vitesse had the same problem the wheels would either go like that
D	or if you were going round a corner one wheel would go like that
A	that's what happened to us
B	that's bad
D	and there was one the Vitesse one of them at gate duty at school thought this Vitesse came up the the
B	oh
C	we were coming
C	we were coming back to
B	ah
B	bad day
A	would anyone like a drink?
B	I'd love a cup of tea would you like?
A	what about you
E	I'll have a cup of tea with you
A	what about you
C	yeah
A	what about you
D	I'm alright thank you
E	I carry that with me when I'm away from home and on journeys to keep everyone safe
A	cos
C	I'll have
B	It's a nice talisman we've both got necklaces which are other things I'm not wearing mine right now
E	how do I know you've got a necklace that's an yeah I've got a necklace that's also a portal to another
E	I'm not wearing it right now
B	it's
E	not wearing it right now
B	it's only for best
B	but I'm talking about my owl whistle
E	of course
B	of course you know my owl whistle you like it you're jealous of my owl whistle
E	yeah so why didn't you buy me one?
B	I should have I didn't realise how awesome it was when I bought it on a whim and I was gonna go back and I was gonna get one for
E	well at least that means the
B	it's still unusual yeah if I ever see them if I ever see them again I'll buy you one and one for all my friends and one for
E	no not for you
B	it's mine
E	that man's going to look after me
B	oh mamma
E	he can do that
B	I miss the days of not having to call in sick for myself or at all
E	mm
B	oh but she was ill
E	definitely I was very ill
B	otherwise you have to call up and even if like it's not a sore throat that's your problem like it's hip pain or
E	yeah
B	exhaustion or something you just have to do the sick voice like I don't think I'm gonna make it in today
B	and then just put the phone down
E	you're meant to do it leaning over the back of the sofa
B	are you?
E	I have one half-spoon please
A	one half?
B	it's a a spoon
D	oh here we go
B	it's er in the blue pot it's
D	one spoon of that
B	er one spoon of that and it's called half-spoon
D	so half the spoon of the one spoon?
E	don't confuse the issue
[ANNOTATION]	There's sugar in the blue pot	Neutral
B	well don't stop it
D	one of one of the half the half the sugar of the one
D	just put half spoon
D	in the cup
D	but a full spoon
B	half a cup
D	half half of half a cup
[ANNOTATION]	There is no such thing as half-spoon	Contradiction
B	half a cup of one spoon
D	half of one half of one cup and the spoon of the other
B	he's just confused you
A	no
D	yeah three of them that'll do it
A	one
B	rumble crumble oh thank you very much nanny that looks lovely
C	do you want some crumble
B	I'm a crumble kid
E	crumble yeah I'll have a little bit of crumble
C	not for you
D	no thank you
E	crumble
[ANNOTATION]	D doesn't want to have some crumble	Entailment
B	I got the skin
B	on the custard
D	I think I've suffered enough
E	you've done very well
B	crimble crumble
D	crimble crumble nice piece of squirrel
[ANNOTATION]	B has never had crumble before	Contradiction
D	yeah
B	Friday Night Dinner and that's filmed really close to us
D	yep
B	yep
[ANNOTATION]	E is allergic to crumble	Contradiction
E	I was told I had to eat this
B	that's for you that is
E	or suffer
D	it isn't
E	the consequences
B	indeed
E	I think that should not happen anymore
D	grey day
[ANNOTATION]	Friday Night Dinner is Bs favourite tv series	Neutral
E	yeah
B	grey day
D	the best way round to have it
B	not a cold pudding on a hot day?
D	or grey pudding on a hot day
D	I'm now a wood pigeon
D	I go from peasant to pheasant to peasant to partridge to wood pigeon
B	mm
D	mm that's not a pheasant that's a partridge
D	and one has never actually been observed in a pear tree
D	it's a common urban fallacy
D	no they're not
D	completely different
B	they look really similar
