B	all the physics teachers are like
A	oh great don't tell me that story
B	and
A	what's this? physics?
B	physics yeah the year ten mocks that
A	oh great
B	that apparently they were really hard
B	whoops
B	but Mr
A	yeah well of course Mr
B	cos he's a weirdo in a waistcoat why does he wear
B	that waistcoat?
A	and his hair
A	although that photo on his door looks really like him
B	he's and then I
A	yeah
B	have like
A	yeah I know I know Mr
A	but
B	and he bullies
B	yeah and then she always like bullies him I feel really bad for him
A	yeah
B	it's like really awkward
A	yeah cos he's just like oh have you got your plan assigned or something and she's like yeah what? what are you saying?
B	mm yeah
A	well erm
B	but yeah so oh in physics it was really creepy
A	this is in the middle of the lesson?
B	yeah he no we were doing like a worksheet or something
A	oh right
B	and
A	so was she actually lying or sitting on the stool then?
B	she was just yeah she was sitting on the stool
A	oh right okay
B	but she was just lying on the table like that and then
A	I thought you meant actually lying across
A	the table
B	and then Mr
B	and like put his face
A	are you alright?
B	like right really
B	and he sticks his head like right in her face
B	it's like yeah he's like
A	I think he's way to worried about how people
B	yeah like Miss
B	are you okay?
A	she'd just be like well I don't care if you're alright or not
A	I'm just gonna sit on my computer doing whatever
B	yeah but he'd be like properly concerned he'd be like are you okay? he kept just kept asking me like are you okay are you okay? I'm like I'm fine
B	I just don't wanna be here
B	but then he's like
B	I was like oh okay I think he might have heard me cos I went thanks
B	and then I went to
B	I'm like
A	this is this is
B	mm
A	why he needs to be a primary school teacher
A	this is what you need a primary school
B	the compliment
A	teacher to be
B	yeah and he tries to
A	he would be a perfect primary school teacher
B	I know maybe we should suggest
A	all of his ideas everything he does
A	how he treats his pupils
B	yeah
A	you need to go are you alright? do you need
B	and if it's a fifteen-year-old and you're like are you alright?
B	and they're like mm
A	if it's a fifteen-year-old lying on the table you just need someone to
B	when are you leaving?
A	that whole walk we were just talking
A	cos then we thought he was really cool
A	cos
A	we thought he was really cool and really nice and then
A	oh
B	and he was like oh
B	and then even Mr
B	you're a bit weird
A	all I think all science teachers are slightly weird
A	yeah well he is
B	I dunno cos I don't have him do you remember when he was
A	he is a bit
B	calling his wife? he was like I'll put on a nice lamb for you tonight
A	I've got
B	I've got a nice lamb is that alright?
B	who else is there? Miss
A	yeah
A	yeah she's really nice she's a really nice person
