B	wanna see what I'm looking at
A	there you go
B	cool
A	having fun?
B	I didn't
A	you what?
B	I didn't
A	I know I've seen it
B	oh
A	no joking
A	I smoke so much when I am fucking when I've had a drink I smoke a lot but normally I smoke like five a day
A	nice my
B	oh I didn't think about that
A	you what?
B	I think you won there
B	mm
A	like that fat one who were a bit retarded
B	yeah
A	well I was at her house last night
B	oh right
A	do you know
B	yeah
A	so he is erm looking after his
B	yeah
A	erm and he is in their house
B	she's really creative
A	that involves common sense and apparently she used to be really really clever
B	oh right
A	like mega clever but then obviously if you were a nerd when you were in school you don't have friends so she pretended that she were really dumb and then she pretended for that long that she became dumb
B	that's what
A	and apparently that's what happened she pretended for so long she became dumb
B	cos she is really like ditzy sort of thing like
A	but apparently she used to be really clever
B	right so did I
A	yeah me
B	drink
A	drink in my life
B	yeah
A	whose never had freedom and whose never drunk
B	eighteen I just thought about being able to go out and get fucked whenever you want
A	yeah and not have to answer to your parents
B	yeah
A	but you had that before you went to university
B	yeah
A	so it's different right?
B	yeah
A	and like you don't want to go out as much as
B	yeah
B	yeah
A	like everyone's trying to get shitfaced every night cos it's new it's exciting
B	I can't hack it any more
A	I can't hack it and then you feel so fucking old and it's like oh my god I'm so old
B	happens though don't it? we do get older
A	I wanna be Peter Pan
A	he is
B	no good
B	I could have cried I could have cried
A	I know that's really sad
B	Robin Williams was a big part of my life
A	he was me
B	I used to love improvisational comedy and he was like so sick at it I used to watch him
A	he was the master of it he created it
B	er so when he died I was like christ that's like a huge part of what I used to watch and what I used to love
A	it were a massive part of my childhood like
B	it made me feel really bad but erm I reckon that's gonna be happening quite a lot more often now I reckon a lot of other people that we used to love will start dying
A	yeah
B	like my my favourite er guitarist when I was like sixteen was Eric Clapton but he's like seventy odd now he's gonna die
A	he's gonna die soon in the next ten or twenty years
B	cos he used to abuse drugs so much then that they're all gonna be a lot iller than they should do
A	oh I love Paul McCartney I love The Beatles
B	and now and now me
A	and now you like The Beatles to me like do you know when
B	can I tell you
A	me too
B	I I've have got The Best of The Spice Girls on
A	I've got all their albums I've got all the well I don't have the album I have their albums now but I used to have the cassettes
B	yeah
A	and like
B	that that dates you cos I had the CD
A	yeah I had the cassettes
B	you had the cassettes
A	two years difference
B	that's what you look like innit
A	Sabbath that what you look like blah blah blah
B	it takes on your whole persona don't it?
A	yeah your whole
A	your degree
B	everything I do is revolving around music so it is my life so if I if erm people die like Eric Clapton or something it really affects me and if
A	yeah
B	and obviously it affects people er who were I don't like to say but
A	yeah I know what you mean non-musicians yeah
B	but it affects me just a tiny bit more and it's gonna
A	cos your creativity comes from that
B	yeah other and I I find it hard to identify because I'm not artistic I can't I can write stories but I'm a bit of a writer but I'm not like creative in many other ways so it all comes out when
A	right your granddad?
B	my granddad
A	how old is he?
B	like sixty odd
B	he's
A	is it though? is it though?
B	even to me I could still survive without music
A	no I couldn't
B	I'd find summut to do even though
A	I couldn't I'd rather be blind than deaf
B	really?
A	yeah cos like
B	I think I think I would agree with that because I'm nearly blind today
A	yeah me too
A	but like I don't know actually though because if I'm given a choice to be born blind or to be born deaf I would choose I would be born deaf like because I wouldn't know about music I wouldn't know what it sounded like but
B	I don't think you'd miss it though because like okay well you're Stevie Wonder who's a brilliant musician who were born blind
A	yeah
B	will he have ever missed being able to see because he never he never had any concept of actually what
A	you wouldn't miss it cos you've never had it
A	feel like one of my
B	right
A	and when we're out at nightclubs and stuff and she dances and stuff like that like she doesn't actually know what it sounds like she can like she's not she is profoundly deaf but
B	she gets the vibrations like yeah yeah yeah
A	vibrations so she can sort of tell a tune but like personally like I know what things look like so say like I turn sixty and someone gave me a choice you can either be deaf or you can be blind well I already know what colours are I already know what people look like okay
B	you could you could deal with it a bit more
A	you could deal with it more but if you think that you'll have never you'll never hear music again you'll never hear people you love speak
B	yeah for me
A	but then seeing them
B	for me for me it'd be hard cos obviously I love music so much but I don't know I I do like seeing
A	yeah
B	even though even though without
B	like I still do love
A	but that's the thing can you could you cope with being deaf and blind?
B	no no I've always said if I lost a couple of limbs like say if I lost my legs or if I lost my arms or something
A	I'd want to die
B	I yeah I'd would I wouldn't be able to do it
A	I could not think of anything worse than being paralysed
B	I'm not strong enough to be able to
A	no me either
B	I'd give up
A	like I could not my my worst nightmare is probably being paralysed like being
B	well the worst ones are when they're paralysed but
A	trapped in your own body and you can't say or speak or
B	yeah but if they got me in one of them computers where my eyes could point at it and like make a like a you know make a
B	the the thing is when you do something like that in this country I don't know I mean it's not legal to do that but then you have to go to prison for doing that to someone that you love which is wrong if they
A	yeah
B	it should be an incredibly thorough procedure and then right at the end of it you should be able to like kill someone that you love or whatever but it would have to be the most strictest procedure ever like you'd have to go through do they wanna do it? they'll have to find this this and this they'll have to
A	but if they're paralysed they can't sign it
B	I know but that that's the thing is like but you couldn't do it any other way because if they didn't have all that you could just go round killing your relatives for you know your inheritance or whatever so you've got that side of it and then there's that thing of erm you could do it abroad in Sweden they
A	yeah but then you come back home and you get prosecuted for it
B	so
A	I think me me personally when I get to like a certain age like forty or fifty I am going to write a will and I'm going to have a will saying if I get these diseases or I can't do this then I want you to take me to Switzerland and wherever
B	yeah
A	but there's gonna be a clause in my will or contract or whatever that will say you can tell anyone what you're doing
B	right
A	and you can't blame yourself sort of thing
B	it just always is
A	because
B	got a nice family trip to Switzerland with your paralysed relative they go
A	and they die naturally yeah but I can't think of anything worse than being trapped
A	what?
A	yeah should go out
B	a party now
B	yeah?
A	do you know anyone who would come?
B	I've got
A	oh okay me too and we can do that and go out and around town after when we're hammered
B	yeah
A	and no one gives a shit or we could stay here drink more and then go out after but the thing is we're gonna spend shit loads of fucking money
B	yeah
A	which I don't have and you probably don't have
B	yeah whatever whatever
A	do you wanna go out drinking or do you wanna go home?
B	I whatever's cheaper
B	I'm gonna
A	yeah so
B	like when people say to me do you wanna do stuff and I'm like
A	erm
B	I really can't cos I've got no money left
B	I've never been in this situation I've I've always had a bit I've always worked
A	yeah me too
B	I've not had a job and they
A	you know I
B	I've got a couple of mates but not necessarily mates that I want
A	mm
B	I'd rather me and you chill out
A	yeah me too cos I could get erm
B	ah I don't like I don't like
A	yeah exactly
B	they they can be your mates like I say I've got no problem with having
A	have you seen this? I've not been on my Facebook for four hours
B	everyone wants to be your friend
B	boy knew it
A	why though?
B	what?
A	I don't see it like
B	they might just look at you and think oh wow I'd smash that
A	I I don't get it personally I oh right okay I commented on a uni lad mag thing earlier
B	yeah
A	you know the lad bible?
B	yeah
A	I follow it cos I'm technically a lad I love everything they post and
B	I probably two weeks for me but that isn't
A	be more
B	ah all these dirty old men are sat there going oh
A	how do I reply to er reply there we go
