A	where the Aldi is
B	where Aldi is
A	oh
B	um
A	I can do that
B	so
A	my feet are cold
B	that's nice and easy
A	yah
B	so that's a bit of a winner
A	oh shite
B	oh yeah
A	came back to work and left again
B	shit
A	with the death
B	huh
A	yeah
B	that's not great
A	mm
B	oh really? After you said you know take some time to consider what it is that you want
A	um
B	mm
A	that was it
B	mm
A	he was like oh thanks hon
B	mm
A	um
B	yeah
A	um
B	yeah
A	I just said oh you know
B	mhm
A	not too much to do
B	mm
A	which was fine
B	he's not making it easy is he
A	no
B	did you feel quite upset this morning?
A	yeah
B	mm
A	yeah
B	yeah
A	and I said I mean I'm the last thing I said to her so I told him is well you know whether if you can if you
B	mm
A	that's it
B	mm
A	game over
B	mm
A	and that's that
B	yeah
A	but if you er if you do wanna be a friend then you have to be a
B	mm
A	you know
B	yeah
A	is a pile of shit
B	yeah
A	I said because otherwise I wouldn't have been with you for three years
B	yeah
A	you never let me down
B	yeah
A	I wouldn't want you as a friend if I thought that you were gonna be a crap one
B	yeah
A	just because you don't keep in touch with
B	yeah
A	doesn't make you a crap friend
B	I mean it's like we said yesterday
A	yeah
B	it's not like you're eighty and you can't change and you think oh I really like I regret
A	yeah
B	treating my friends in that way
A	do you know the worst thing is? When we were together before er before we decided to separate
B	mm
A	um
B	yeah
A	and I
B	mm
A	you know
B	mm
A	I took him back up to
B	mm
A	um
B	mm
A	she you know she'll not think to do that
B	yeah
A	yeah
B	mm
A	I was like part of that reason is you've never been out of your comfort zone
B	yeah
A	he'd like he had the same part-time job growing up
B	mm
A	when he went to uni he kept it cos he went to uni in the same place he grew up in
B	mm
A	he never changed high school
B	mm
A	so the same types of people
B	mm
A	so he did leave his friends then
B	yeah
A	went to HND but then obviously you don't then leave college and go to uni
B	mm
A	until he moved down here with me he'd never his choices consciously or not had never put him in a position where he'd have to work on friendships
B	mm
A	there all the time and
B	mm
A	so when he moved away I said to him you know it's hard
B	yeah
A	why don't you go and see
B	mm
A	and not very often but
B	mm
A	but he said some really awful things Liz
B	to you?
A	yeah
B	mm
A	I know what he's getting at when he's saying that if we did something if something went wrong
B	mm
A	I used to freak out
B	yeah
A	and I did  I did  Like
B	yeah
A	I don't know why
B	yeah
A	Cos
B	mm
A	because he didn't in hindsight I should've said this to him
B	yeah
A	that I I didn't feel I could  I could  rely on him
B	mm
A	if we were planning to do something
B	mm
A	you know
B	mm
A	it's
B	Cos you sort of take that person for granted
A	yeah
