F	but there also free things that the library and
A	libraries are often brilliant aren't they?
F	yeah
A	they have like rhyme times and yeah
F	cos we have like
C	really?
F	like messy play and things like that
A	yeah
F	but erm
A	but they were on about getting rid of Sure Start so maybe they've gone or maybe they're just in England have we got
F	have they
A	something different in Wales
F	Community First is that
A	what sorry?
A	possibly
F	in Wales
A	it's basically
F	it's erm
A	the idea that you can take them somewhere that and you could get there's like toy libraries and things like that which is quite nice
F	er end of next week
A	oh no I bet it's things like this that you'll miss
F	yeah
A	that you can go and just you're free
F	I know
A	just to kind of
F	yesterday I went to Cardiff Bay cos there's erm a big warship that's
A	right
F	we went to see that and we did a massive walk had lunch just when he's when you're pushing him he doesn't make a sound he doesn't so it's just like
A	exactly very portable
F	yeah
A	you can kind of do anything you wanna do
F	exactly so it was amazing
A	yeah but you
F	but Wednesday
A	but you're gonna go
F	yeah
A	that's nice
F	yeah so er yeah it'll be really nice Wednesdays and then
A	oh so you're gonna have Wednesday so that's quite nice cos it breaks into manageable chunks
F	and you have to sort of put a request in
A	yeah if you ask for a Monday or a Friday they're probably gonna say no
F	yeah exactly
A	because everybody wants a Monday or a Friday off
F	yeah
A	Wednesday is nice though cos then just basically
C	breaks up the week
A	two
F	yeah
A	work and then you're everyone can work two days at a go
F	yeah exactly have a drink on Tuesday night
A	so you'll have him on a Wednesday
F	yeah Thursday
A	so on a Monday Tuesday he'll go to a nursery
F	yeah
A	nice
F	yeah should be okay
A	it's a lovely little balance
F	yeah I know
A	yeah
F	yeah
unknown_female	what about you though
unknown_female	have you got a life?
F	yeah
unknown_female	what what have you what have you been up to?
F	ah
F	a fair amount I think I mean we
unknown_female	mm
F	for a week we're going to Belfast
A	the Belfast thing sounds just the two of you?
B	oh oh yeah
F	yeah and we're going to a wedding not far from here actually er in April yeah we've got a fair bit on
unknown_female	well you've got a fair like
F	yeah er it's really nice to sort of
unknown_female	yeah
F	you just to
unknown_female	mm
A	does
F	yeah I mean luckily enough she went to she went to uni in
A	yeah
F	well
A	but like it was in
F	it's
unknown_female	yeah it's not yeah it's not
unknown_female	so it's not even
F	it's near
C	near
A	but
B	nearby that's
F	but she
A	that's pretty small
F	but but she met er she met a girl there who was actually from quite close to her hometown and they became very close friends in uni
A	right
F	and it turned
A	oh so that was the link?
C	oh right who?
F	er
F	yeah
C	yeah
C	okay right
F	it's
C	oh okay
A	too old now
B	that's more reason to call him
F	some people are you know they don't mind their nicknames like
F	really? that would be one I would be
F	insistent on changing
C	Scarborough
F	Rock Scarborough
A	yeah but
A	yeah oh
F	but
B	well what's he what's he up to now?
F	er
B	really?
F	he's got
B	ginger?
F	he had a giant you know a giant baby
C	so those mega babies you read about now?
A	naturally or C-section?
F	er well I
A	it arrived
