A	do you remember this song?
B	oh yeah I know this song
A	is it? Oh he's so annoying
B	is that uh Top Of The Pops isn't it um?
A	is it Bananarama?
B	um so I
A	yeah
B	I mean I was like uh
A	I dunno
B	um
A	yeah
B	um so uh is
A	it's no it's about yeah this one's about girl groups
B	it's it's yeah cos I think no no no this is alright
A	ah she looks so chavvy
B	no this is alright
A	shall I turn it over?
B	no no no no this is fine
A	yeah
B	uh
A	she's a proper chav though Cheryl Cole
B	unless unless there's something you wanted to watch was there something?
A	um it is sorry is this something I wanted to watch or is there something?
B	unless that you you said you did you want to turn it over to watch something else? Is that?
A	oh no no I just um
B	right
A	yeah I don't know
B	like a short one isn't it so there's uh
A	what d'you mean?
B	Cheryl Cole's really famous I know but I dunno  I dunno  what what happened to the others
A	um well so Kimberley the one that's like the most normal out of all of them
B	is that the one with the ginger hair?
A	was she from like Warrington? No so there's the gingery one
B	I can see there's a blonde one there
A	and then there's the blonde one Sarah Harding and then there's the other one called Kimberley
B	right
A	I sound like I'm a massive fan
B	no no no you don't you just know like pop trivia
A	and then
B	kimberley?
A	yeah
B	which one's that one?
A	that's the Irish one
B	oh right
A	this was like quite early on I think they all look quite young
B	yeah
B	all I remember is that Cheryl Cole was
A	that's the
B	she sort of stood out as being very defensive and like quite sort of boisterous but like defensive like if you  if you
A	in interviews you mean?
B	if you tried to
A	Don't mess with her? She's just well hard isn't she you know?
B	she is pretty from uh you know quite a rough background isn't she so?
A	yeah she is
B	um
A	I remember this song like
B	so it's like
A	look at them in their combats
B	it's quite sort of  quite sort of  like The Gap that those outfits there
A	like
B	the old nineties The Gap and the the uh
A	yeah it's like
A	it was really ninety like nineties styles like combats and stuff like the
B	yeah
A	I don't know if I know this one
B	with a sixties look
A	but she's playing the guitar that's quite unusual isn't it like it didn't really get like women musicians like on the telly
B	it's that's unusual for the sixties to have
A	yeah but that's singing mainly we didn't you didn't really get like women guitarists for a long time
B	oh yeah no no no that was when there there are there haven't been that many sort of female like guitar rock stars with guitars have there?
A	no
B	I mean
A	yeah but I don't know if she's in the same sort of
B	yeah I was
A	everyone loves a bit of Dolly Parton
B	uh the majority of female singers seem to just be tend to not have guitars like that I mean
A	yeah
B	uh
A	got trousers on and everything
B	they have like proper sixties uh haircuts though
A	I like that
B	um is that like?
A	actually the I like sort of  I like the sort of  shorter ones that are bigger
B	what d'you call that? It's like a
A	um I don't know
B	it's kind of round and like big at the top so like a beehive like
A	it's a bit like a  a bit like a  beehive yeah but it's also like ur um like a Lego man's haircut a bit
B	yeah
A	oh yeah
B	kind of heard of them but
A	these were on uh ones that were on like a talent show one
B	oh did they?
A	I still don't understand what was happening on The Voice last night like what was that? I don't understand the
B	all all I know is that it's is like you choose based on the sound not the performer
A	yeah
B	must presumably they just apply and then maybe they get filtered down but I don't know
A	yeah
B	um I could have a little look on the
A	no it's alright
B	smartphone to to to uh
A	are the is the window open?
B	I mean it's it's a good idea but also they started Britain's Got uh Talent as well but I don't really like that very much so I didn't watch it
A	is it Simon Cowell that you don't like though?
B	partly
A	Cos David Walliams is on it now and he was like
B	the Simon Cowell element
