A	there you go can you put that over there please?
C	it's not nearest me
A	oh actually do you
D	will that do?
A	no it's alright
D	what's she doing?
A	erm she said at eight she'll come cos that
D	oh is she picking you up?
C	which way up?
A	that way
D	where do you think you
C	that way?
C	where
C	that way?
D	where do you reckon
A	yeah
D	you'll go?
A	er
D	has she got a boyfriend yet?
D	yeah
A	er I don't think so I've not seen her in a while she didn't when I last talked to her
C	do you ever stay in touch with
A	yeah not that much but yeah
C	oh
A	very busy
D	who does is er
A	sorry?
D	is she at the
A	who?
D	er the
D	the call centre
A	she erm she was but er I think I I remember talking to her a while ago and she said she's not at that particular job any more she said it's
D	well cos my one of my friends she works there she's doing erm
C	so is it like sales? is it like phoning people up and trying to talk and get them to
D	it's not sales really it's about
C	oh
D	it's about
A	that's what she does
D	oh does she?
A	yeah
D	oh that's got not the same one as my friend works at because she does like it's like er you know like councils? and they they get people to erm pay their Council Tax and stuff so they get on
C	oh right
D	it's like boroughs
C	okay yeah
D	like like
C	isn't it
A	yeah I'm not sure it's I'm not sure it's actually
C	no I don't think
A	the thing that
C	sign up to something
A	sign up to stuff with their company or whatever
C	yeah oh I see
A	like I think it's it's mostly like companies that she rings up like it's not just
C	so she's the one that phones me up that I get really cross about?
A	well she she no she rings companies more than people
C	oh okay
A	she does ring people as well but she does companies first
C	okay
D	yeah you they ring you to like if you're behind on your Council Tax payments and stuff like that
C	right
D	and they for like but not for this
C	mm mm
D	to do get them to
C	yeah
D	so it's not actually selling like selling space like newspaper space or anything
C	no
D	but office more or less
C	there was erm
A	yeah it is
C	there was a programme about erm one in Wales wasn't there? did you ever see that one?
D	no
C	and it was really really interesting and when you see it from the other side you know and it's just a job isn't it and they're just trying to earn some money but when people phone me up and say have you thought about buying this and have you oh I get so cross and think you know if I wanna buy so and so I'll look into it and I'll buy it I don't need you
D	yeah
C	phoning me up but then when you see it from the other side and you think you know they're on commission and
D	yeah they've got trying to get as much
C	yeah and it's I mean all they're doing them bless them is there is a job isn't it?
D	mm
C	you know?
D	mm
