B	there's a bit of clipping on the recording from last night oh good morning
A	hey alright?
B	how are you doing?
A	I'm okay and you?
B	yeah good good
C	what
B	oh I should get a T shirt on it's a bit cold
C	like
B	erm if there's too much sound going onto it starts to sound like
C	oh I see well yeah
B	so there's a little bit of clipping and that
C	oh right so yeah
B	but no it's good it's clear erm
A	what would you like for your breakfast?
B	right I'll be back down I'm gonna grab a top on it's so
A	alright
B	so it's er it's warmer in the room
C	yeah the heat rises
A	erm
C	I'll just close that down
B	what do you have for breakfast?
A	I have there's toast and you can have eggs on that if you like or there's marmalade peanut butter jam there's cereals there's Weetabix Cheerios flakes
B	what will you be having?
A	I'm gonna have some cereal but I mean you can have eggs it doesn't take me long
C	yeah
B	no no no I mean
A	if you'd like an egg I'll do it
B	I'd normally have eggs at home but
A	yeah that's fine
B	I have them every day so I think I haven't had cereal in ages so I'll give them is there Weetabix?
A	yes
B	yeah I'll have some Weetabix
C	okay wheat biscuits
B	oh how did you sleep?
C	oh I slept fine yeah
B	and you
A	I did yeah thank you
B	yeah no parties last night then?
C	no
A	no no there wasn't anything well you would know believe me but no
C	yeah you'd know about it
A	what would you like to drink?
B	oh where am I sitting?
A	no sit wherever you like
B	yeah?
A	no I just got I put my shirt on here cos I'm going outside
B	that's fine yeah just water I've already had a glass of water that'll do are the glasses in here?
A	no along just there
B	yeah
A	okay erm
B	is anyone having water?
A	no thank you do you want some orange juice or anything? I've put some juice in the freezer I don't know how cold it'll be
C	fridge
A	no in the freezer
C	oh you meant it oh
B	is it frozen?
A	so it's cold no it's not frozen
B	oh you just put in there for a reason
A	but I I put in in well I got up this morning and
B	just a splash would be great like a third of cup
A	mm
B	but yeah I think the recording's okay
A	yes
B	somebody was singing Happy Birthday
A	were they?
B	at one point
C	yes and I would imagine our chef erm
B	that was for you obviously
C	yeah
B	you didn't want us to sing Happy Birthday did you?
C	erm yes I'd have thought no it didn't cross my mind I wasn't worried about it happening or or not
B	it hate it
C	oh
B	singing Happy Birthday
C	it it happened last year didn't it
A	yes
C	yes they did sing Happy Birthday and the cake came out
B	did they?
A	they got you a cake didn't they?
C	yeah a cake came out
A	and they brought it out
B	ah
C	yeah
B	sorry I didn't make you a cake
C	no that's fine
A	did you get a glass
B	yeah I got a couple of glasses yeah
C	that's fine I'm not
B	what's what's wrong with them? no is everyone else wanting some as well?
A	no
B	just a little bit
A	you're well
B	shall I put it back in the fridge then?
A	yes please yeah it should fit in the drawer I think there it won't be
B	what will be your plans for today?
C	this afternoon we'll erm
B	oh no
C	I climbed up there so I've I was able to fix the guttering but it's reattached itself and it's started to climb onto the roof so er I need
B	always things to do
C	yeah well yeah garden takes a lot of work I think so
A	did you sleep alright in there?
B	yes yeah
A	you didn't hear any noise from his or anything?
B	no no I didn't hear anything I kind of stayed up for a little bit actually
C	mm
B	and her friend pulled out so she's on her own all weekend so I feel a little bit bad about that
C	well you shouldn't feel bad because erm you er aren't the one who's let her down it's her friend who has
B	yeah and I mean she went home when I er she left me on my own for a few days didn't she when she came out she'll be fine she's got plenty of work to do so
C	mm
B	she'd getting on with that
C	well not the the the flat'll be spick and span when you turn up there again
B	yeah she's gone out to buy some more cleaning products today actually
C	mm
B	we didn't have any rubber gloves Marigold got to get some of those think she wants to give the bathroom a spruce
C	mm that's what you said yeah
B	is it okay to have lunch here before I go?
C	yeah that's fine
B	yeah
A	mm
B	cool
C	more like
A	no we haven't got anything planned at the moment
B	just more out in the garden
C	yeah well well we have quite a few different things on and you know as I say when it's dry and not too cold
B	it hasn't rained too
C	no
A	mm
B	no
A	no
C	August was was
B	mm
C	so September's actually been a warmer month that August
B	September was nice
C	mm
B	it's not actually that wet I looked at the the charts for how much you know water we actually get
C	mm
B	it averages about forty millimetres a month it's pretty much standard like across the whole year a little bit more in in erm November and those kind of months but I mean Korea in the height of their rainy season they receive two hundred and fifty millimetres in one month and that lasts for like two or three months
C	yeah
B	and then their lowest month is forty
C	yeah
B	so they they probably get about three or four times more rain than than we do but it it just rains more frequently in England than it
C	mm
B	it does in Korea does that make sense?
C	we had a very wet winter last winter and it was not cold it was wet erm a couple of days of frost no snow that was it then it was rain
B	was that the winter when there was terrible flooding?
C	yeah
A	we had the flooding year yeah
C	yeah last winter
A	there was
B	any around here?
A	erm yeah
C	no
C	mostly it was in the West Country
B	I remember erm
C	mm yeah
B	did that flood last winter?
C	mm I didn't go in
B	the country's slowly sinking
C	mm
B	so it was the West Country that was hit the most?
C	it took the brunt of it yeah
A	oh they really were and so does so did the erm east coast didn't it?
B	I remember seeing a train line had collapsed or something along the
C	Cornwall
B	along the coast
A	yeah Cornwall
C	Cornwall yeah
B	Cornwall
C	It was England and Cornwall must er England Cornwall Devon and Cornwall
B	yeah
C	mm
B	Scotland didn't get independence then
C	no
C	despite their engineering which they tried to engineer the erm the outcome by putting the erm vote down to the er the as sixteen I think Alex
B	not allowing Celtic people outside of Scotland to vote
C	no I don't know how they could
B	how can you say that if no no Scottish people living in England can't vote?
C	yeah it was
B	that's ridiculous
C	it was wrong erm they knew that if they hold there there's a hundred
B	that's quite high
C	I think they thought that if they can included them erm they would almost to a man vote to stay within the United Kingdom
B	yeah because otherwise they'd have to leave wouldn't they?
C	well they won't have to leave but because they if they joined
B	well it's if you're talking about the EU
C	well there'd be a well no they'd have to apply to the E er U erm there was a lot of
B	Pays Basque
C	and also erm Catalan which
B	yeah because
C	like turkeys voting for Christmas because they could see the breakup of their own country
B	yeah
C	Basque and erm would start making steps for a autonomy
B	it's not the way we should be going now is it? further divide
C	no
B	we should be trying to come together as a people
C	yeah also
B	I'm all for
B	European
C	also Salmond although a lot of bluster didn't convince people that we're regarding the pound he he he was
B	fifty-eight yeah
C	er and also if they had voted for this you're gonna have a lot of English people represented by the MPs who are going to be hacked off by this and also that the they've they've nailed their colours to the mast erm all three M all three leaders of the parties the Liberal er Democrats Labour and the Conservatives the government and the top
B	yeah
C	so erm so it would have been some going full going into this negotiations with the tail wagging the dog no erm you're not in a position to bargain really you'll you erm also I think the
A	do you want a cup of tea?
C	yes please and I think it also backfired
A	do you want one
B	no no
C	backfired with the young because the young were think I think they thought well
B	no
C	it suddenly
B	you're giving some people a lot of credit though I'm not sure if people are thinking that deeply but
C	I think the students might have been
B	yeah I mean the students
C	erm a lot of people would have also
B	wouldn't it be strange if they didn't get into the European Union though?
C	well the there's a good chance they wouldn't
B	mm
C	try going as a new country to the IMF
B	yeah
C	er let me think about you for a minute erm no
B	no
C	we're not gonna give you any money if we do we'll give you money but at the moment Great Britain
C	erm you're gonna have to put things up you're gonna have to put income tax up and stuff like that try and pay for it
B	sell off industry and privatise the
C	yeah erm you can't er er
A	do you want any toast or anything else?
B	do you have an apple?
A	yes
C	the problem is
C	we keep them in the fridge cos see how quickly the fruit goes
B	yeah
C	it's base it's base it's customer base erm
B	yeah I think I've heard that quote before
C	you can't do it
B	my opinion of him has been altered a little bit recently by researching pigeons and creoles he said had some terrible things he's said about those languages so basically racist he just
C	I think he probably was
B	there's some quotes that were just like you know this is a bastard English and broken from full of monkey stuff and I was just like bloody hell when I read some of his quotes prior to that I thought the guy was quite
C	he failed his er
B	language
C	entrance exam a couple of times into into Eton
B	yeah
C	and come from a good family erm yes er yes his flaws I think
B	did you ever watch Peaky Blinders?
C	yes it's back on again
B	he was in that it's back on again?
C	yeah
B	the second series?
C	yes
B	oh
C	yes
B	yeah he was portrayed in that wasn't he?
C	yes yeah erm Winston Churchill did er er you know he did get involved erm with some
A	thank you
C	things that weren't particularly nice er also he was very much into a big
A	yeah
C	fundamental gaps but erm
B	yeah
C	erm
B	mm
C	what?
B	you said Peaky Blinders is
C	is coming back on Thursday
B	oh it's coming back
C	yeah back on Thursday
B	oh advertising it
C	Sam Neill plays although he's from New Zealand plays an Irishman
B	yeah he did didn't he? oh is he from New Zealand he's a Kiwi?
C	yes Kiwi
B	I didn't know that
C	yeah
B	my friends are in erm New Zealand at the minute
C	oh right
C	oh right
B	erm before they come and stay with us in England they're travelling New Zealand for a few months
C	right
B	that's pretty nice they rented out a van and they're just kind of living out of the van
B	but it's still cold
C	it's still cold
B	yeah and they've just they've just hiked do you know Lord of the Rings the movie?
C	yes
B	erm
C	from yeah
B	mount doom or mourn or and they've just hiked that in a group but it's taken them to have crampons and ice axes cos it was like
C	yes
B	proper frozen and
C	yes well they've just erm their winters just end it their equivalent now are their erm
B	yeah
C	mm
B	kind of living quite cheaply out of the out of a van so
C	are they work were they working have they?
B	they worked in Korea
C	yes I know but did they leave when you left?
B	yes yeah their contract finished at the same time
C	oh oh I see so they're kind of gone on an extended holiday before they
B	yeah
C	till the money runs out and they have to go back and get a job
B	his er
C	okay
B	for two months and now and then
C	mm that's gonna be
B	yeah
C	cos they're they're they're you're meant to be on two different agendas their agenda is gonna be big fun your agenda is gonna be erm trying to do this and
B	I mean we're telling them at every step erm to a certain degree we don't owe them too much because when we visited them in in America they were working opposite shifts so we didn't actually really do anything with them when we saw
C	yes
B	we just kind of lived in the house for six weeks
C	yeah yeah
B	so erm we've told them we're gonna be busy with uni and like
C	they're gonna appreciate that
B	and they'll get on with their own stuff a lot
C	yeah
B	but but erm
C	mm
[ANNOTATION]	B is going to be busy studying when their friends visit	Entailment
B	another two will be set two weeks prior to them coming so provided I'm just on top of everything
C	yeah
B	by the time they come
C	yeah
B	it should be okay
C	mm that's the mind see
B	yeah
C	for the year
B	was it a short course then?
[ANNOTATION]	B is worried about their friends coming	Entailment
C	yeah
B	tell you what if I'd have known about that course
C	mm
B	do one year at college
C	mm
B	get into a much better university than you could have possibly got into if you'd have done A levels
C	yeah
B	and erm receive funding as well
[ANNOTATION]	B and C are talking about how to do well in school	Entailment
C	yeah I mean the work experience has been good for him
B	an access course yeah
C	it's yeah definite
B	I personally think
C	yeah well
B	I think you
C	yeah
B	should be made to take a three year gap whereby you really decide whether or not you want to go to university
C	yeah
B	try and save up some money to go
[ANNOTATION]	taking a gap year is a bad idea	Contradiction
C	yeah
B	have a bit more of an understanding of what that kind of debt really is
C	yeah
B	it bothers me that you can turn you're a man and then
C	mm
B	for the next thirty years
[ANNOTATION]	people take on debt at too young an age	Entailment
C	we have
B	awful decision
C	we have erm
B	oh
C	but erm the chap
[ANNOTATION]	life is good and there are no hard choices	Contradiction
B	mm
C	erm but he curtailed his erm
B	mm
C	and what the mindset seems to be now is that
B	mm
C	which is definitely relevant and I said you're gonna be managing people and it's gonna like put a few people's noses out
B	mm
C	on a business on a business studies degree
B	yeah a degree yeah mm
C	and you're thinking and
B	I mean I understand to a certain degree why having a degree should enable you to take higher positions
