C	I'm eighteen years old there we are
A	how old?
D	no he's not eighty really
A	eighteen
D	oh gosh no
C	right oh yeah well I'm happy to and that's it is it?
A	that's it yeah
C	how much how much memory was that we got then?
D	mm
C	how much memory does that
A	erm oh several gigabytes
B	ten
C	really?
A	mm
B	yeah
C	oh
B	did he?
A	from from McVitie's
B	you have to get enough McVitie points you have to get like a thousand points or something
C	oh I see oh right
A	so we only eat McVitie's biscuits anyway
B	so I kind of stocked up but they went
A	so we're supposed to go out and buy ten
B	but they went quickly
A	ten at a time
C	yeah
A	and bring them back
B	and then they they suddenly
A	yes it is
C	no it's not
C	you
A	yes
C	well you can do but I mean have have I said anything which you don't want to know about or?
D	I didn't listen
C	are you going to?
A	you said you were eighteen
A	yes you can we've got software to do that
A	yeah
B	yes we do have to change it
A	so we have we have to change it put it all on the computer and change it
C	oh I see yeah
A	and then to save it as an MP3 rather than an MP4
C	yeah
A	but that take quite some time
C	mm
A	to go all the way through it and then take out bits and pieces that we don't want in it
C	yeah yeah
B	everything's anonymous anyway they they don't
C	oh yeah no no I I can see it's a very generalised
A	well I mean it's it's the way the British are talking at the moment you know? that type of thing
C	yeah
A	and they analyse it and
C	yeah
B	quite interesting really
A	it's very interesting you know and erm
B	they actually do the transcribing
C	oh I see
D	oh I see
C	oh interesting alright
B	and erm you know
C	well I
A	probably how they feel yeah
C	so I'm fed up
A	yeah
C	yeah
D	it's nice
A	oh good
D	pebbling?
A	pebbling then
D	oh years ago I guess
C	yeah long time
D	yeah
A	oh right
C	yeah
D	yeah I thought you would have
B	lemon and ginger as well
C	yes I like that yes
B	mm
A	and er apple cinnamon the one we had before isn't it?
B	yeah
D	we had erm
A	now I haven't had Red Bush I don't know what it tastes like
C	well Red Bush is I it's yes it's a bit quite a strong taste but erm
A	did it? yeah
B	oh right
C	just just erm took the edge off the bitterness and it's er
B	mm
D	then we got more muddled up
C	well you did yeah
D	no I didn't I didn't
C	we have we have a cupboard full of boxes with teabags in them and below it we have a shelf full of pots which normally have teabags in but most of them are empty at the moment
A	oh we've got that
B	yeah and we do that
