B	okay this is recording now
A	okay
B	especially the chips
A	mm
B	they're better than last time
A	what you mean the rest isn't that isn't that good?
B	no I'm just saying the chips are better than last time
A	mm
B	no so this article on food banks I was reading
A	mm
B	it was saying there's now a thousand food banks across the UK which is huge
A	yeah so I mean who do they feed? is it?
B	yeah the I mean
A	just kind of I mean whoever just turns up
B	yeah
A	or is it means tested I mean?
B	I don't know I don't think it is so I guess that's part of the problem with assessing like if people really need them like if you're a student
A	what's to stop yeah?
B	what's to stop you just going there and getting free food?
A	or a or a banker
B	or a banker exactly and these like erm pay what you feel cafés
A	mm
B	there's two of them in London now one of them's in a really poor area so there probably is poor people going there
A	mm
B	but the other one is
A	ah so you're still paying it's not free
B	pay as you feel no I'm talking about the pay as you feel cafés now
A	mm
B	but you know they're very generous but the point is how do we know that these like food banks and food cafés are serving who they're supposed to?
A	well I think the principle of a food bank is a good one because if you think about how much food wastage there is out there
B	yes
A	from your average café like Costa at the end of the shift they throw away all the muffins and stuff if they're if they're due to expire the next day cos they simply can't display them even though they're still alright for a few days
B	mm mm yeah but
A	and they throw them away
B	but the problem is that food banks aren't stocked with leftover food it's like you or me going to the supermarket now and spending say twenty pounds
A	mm mm
B	and then giving that food we've just bought to a food bank
A	mm
B	so they're not really being used in that way the other one that erm the food what were we saying before? about the pay what you feel cafes that's different those two in London only use erm food that's about to expire or food that has been donated by businesses
A	oh okay
B	so that seems to be a better use
A	what part what part of London is that in? that pay as you feel café?
B	I don't know I'll have to look it up
A	mm
B	yeah I remember reading about it last week cos when we were in Australia we saw that pay as you feel concept much more widely used but it's
A	did you?
B	yeah like they had erm at the convent they had pay as you feel yoga
A	mm okay
B	erm pay as you feel obviously food and I saw a stand on the high street in Melbourne saying pay as you feel balloons and like face painting
A	that's nice
B	but that concept in the UK seems to be brand new
A	yeah
B	erm obviously it's all started by volunteers
A	mm
B	like in Australia and UK but which I mean you could say it's kind of exploiting people as well I mean these are still businesses
A	mm
B	but I suppose if the money's going to a good place then you know who cares? they're not doing it for profit but you'd think they could pay people minimum wage
A	from where?
B	well people if people are paying as you feel and for example they've got maybe it's quite a good business model one in a sort of posh area of London where bankers go and they're paying actually over the odds because the food was free you have to remember
A	yeah
B	so there's no overheads for the food and they're not paying any staff fee so if they're paying five pounds for that meal that's actual pure profit unlike a real restaurant where they'd be spending out huge amount you know probably the biggest expense is wages and then the food itself so that could actually be subsidising the other café where people can't afford to pay as much
A	true but don't they have to rent premises to do this?
B	mm yeah
A	so I mean that's massive
B	so they do have that overhead
A	yeah that's a massive expense
B	plus the electricity and water
A	mm and there's no guaranteed levels of income here you know they're just
B	mm true but these have been going for years in Australia like the one at the convent in Melbourne
A	mm that's a convent though
B	no no but it's like erm it shut down as a convent
A	mm
B	and the council were going to sell it off privately for erm flats
A	development
B	development but the local community cos they loved the convent decided to buy it they bought it between them they raised money themselves
A	mm right
B	and they put in a business plan to the county council saying we want this to be developed as artist residence you know not as in they live there as in they work there erm and also these kind of community cafés and so they put in this really great business plan and they found backers you know charities who would come in it's really over subscribed for the artist residence and it's been hugely successful I mean it's a tourist thing now people go there to visit and they do like loads of courses but they do make money because those artists in residence are allowed to sell their work and they have erm like natural health clinics and you actually pay quite a a lot of money to go to them
A	okay mm
B	so it's it's not just you know sort of ticking over some some of those are actually making money
A	well that's nice
B	mm
A	that's good I mean but I'm assuming that these ones in London aren't there yet
B	no I mean it still seems to be very new concept
A	early days
B	and I wonder if I mean I suppose if they're registered charities then they wouldn't pay business tax would they?
A	yeah they'd have all those charity charitable exemptions
B	yeah and you'd think the same for food banks but yeah going back to the food banks
A	mm
B	I I just don't know like how meaningful it is to say there's a thousand food banks you know that if people are exploiting them for free food when they're not actually poor or not in the sense of poverty I mean like students don't really need to use it
A	yeah I mean even even you know people that live in that area it's actually quite handy it's almost like your think about your charitable kind of clothing bank
B	mm
A	where you and and shoe bank where you sort of donate
B	mm
A	it's kind of in the same bracket isn't it? only with food
B	yeah it is
A	so if you live in that area you're probably more likely to give because to be honest you're about to go on holiday there's a there's a bunch of stuff that's going to go off unless you you know donate to this bank
B	true
A	and someone can make use of it but er
B	yeah but what they said in this Guardian article is that the people who use it erm are often people who have mental health problems and maybe can't work
A	mm
B	erm you know aren't capable of going to work erm drug addicts obviously cos you know they're not earning er homeless people but they also said there was an alarming rise of people who were actually working obviously the unemployed but people who were working full time
A	mm
B	but in minimum wage jobs and they were using food banks and that is worrying
A	mm yeah
B	but again we don't know whether they're just trying to save money they've just you know sort of oh free food
A	yeah
B	that'll save me fifty quid a week
A	mm
B	and they're just using it for that rather than actual poverty
A	yeah erm
B	I dunno what do you think?
[ANNOTATION]	They know a guy who uses food banks to save some money for a new computer.	Neutral
A	I think the idea is a good one erm although I think we're saying that this whole how does this interact with the welfare state? and is this like a cop out for the welfare state with the cuts and everything?
B	mm mm mm
A	I mean
B	yeah
