B	otherwise we'll be
A	just had a missed call from my mum maybe she heard us talking
A	er oh she's like got burning ears
D	better ring
A	well I've just sent her a message saying did you ring and she'll probably go no I rang you back rang back and said erm
A	and then I'll and I'll just
C	ten o'clock
A	and I'll and I'll just say I don't want to talk to you either
B	come on
A	very tempting
C	right then mother
D	yeah
C	no
D	oh
D	okay yeah
B	okay
D	er
A	I'm gonna have one of them cookies that nana brought does anyone else want one?
D	they're in the utility
A	are you hiding them from me
B	oh white chocolate
D	mm mm
B	no well
C	couldn't it be though
B	yeah yeah you could there's a there's a timer
C	yeah but you know I could be thinking of one you at the same time and whoever
B	well yeah well you should see this now anyway
C	okay
B	because we're gonna use the same one
C	but you know
B	and
C	just so there's not sort of
B	mum if you mum if you wanna change seats with me or you wanna move opposite
C	no that's fine
B	okay so do it from my perspective yeah?
C	yeah
B	okay
C	oh so
B	so I was looking at it like that
C	so I have to turn it when I
B	shall we just put it this way then and I'll have to look at everything again?
C	okay
B	okay
C	it's not because you weren't happy with your
B	no no I'm
C	and is is that that now it's not across?
B	that's that's the bottom row there
C	oh
B	mm
D	yeah
B	let's say
D	mm mm
B	two
D	okay
B	so so now you just tap them with your finger when you're sure
D	oh
B	okey-doke so if you're wrong I'll put whatever card I should put on it but obviously we're blue so
D	mm mm
B	that's correct
D	yeah
B	the red on it then we give
D	okay
C	you want neutrals as well though right?
B	no
C	you don't?
B	a neutral means
D	yeah yeah yeah yeah
B	a potential one someone else but it's not a disaster
C	okay
A	mm mm
C	living oh no
A	I was thinking then about the film and I was like what? Dr Dolittle eh? erm
C	you can talk
A	okay
C	what are you thinking?
A	er I'm
C	mm
A	I'm thinking definitely doctor
A	nor dinosaurs so logically as a was he a vet or was he just a?
B	you can't you you can't
A	oh
B	say anything and you can't look er in any way
A	alright then so doctor cat bat
C	and can you put a blue on that?
A	ah
D	got one for cat?
C	yeah
A	oh dear
B	mm
C	so that was my fault
A	ah
D	saw whale
A	did you see whale? oh you can't tell me
D	no
A	okay
D	oh dear
B	alright then mother?
D	yeah
B	tan
D	tan
B	no no I'm not
D	okay
B	gonna say it now cos I've said it tan two
D	that's quite hard because we're in Wales or are we? and in Wales fire is tan
B	very good
A	mm
D	more I can see more than two
B	tan two
D	that's not helping is it? oh we've also got fighter fire fighter
B	mm
D	mm
B	okay
D	mm
[ANNOTATION]	The speakers are in Spain.	Contradiction
C	mm
D	mm
C	so
A	why can that be neutral and not wrong?
B	cos it just
A	oh right okay
B	if so in the future if I say octopus two and it you find tentacle and you find
[ANNOTATION]	Speaker D mentions they got a fire brigade member.	Entailment
D	oh
B	pick the one
D	why didn't you tell me that before?
B	I don't know okay
D	okay
C	mm
[ANNOTATION]	Speaker B didn't share some intel with speaker D.	Entailment
A	okay so construction yard
B	you can go you could
A	right okay does that lose me any points or is it worth doing that?
B	it's worth doing it if you're right if you're wrong then there's you'll
A	oh right okay oh no right okay so yard bridge
C	and this yeah
A	oh okay well that's better than
[ANNOTATION]	Speaker A prefers yard bridge than other constructions.	Entailment
B	okay then
A	oh what else was construction?
B	mother
D	yeah?
D	it is
B	okay
D	conductor bolt
B	oh
D	to pick another one that goes with lightning?
[ANNOTATION]	A conductor bolt is not considered a construction.	Contradiction
B	ah in other words based on what I've said or based on what I've said before
D	another two?
B	no you can do one more
D	oh yeah
B	that was tan
B	but I didn't see anyway
C	go on then
C	I've said it now erm trees
[ANNOTATION]	Speaker D will do another one.	Entailment
C	two
A	spring
C	erm
D	doctor
A	oh Dolittle
D	oh Dolittle
A	no
D	oh
A	I can't can't put that either
C	erm yeah
B	so we could win the game now if we got a three
D	mm mm
B	oh and they've got a two
A	the way I'm going that's quite likely
C	now it's me
B	Blackbeard two
A	what did you just
B	see I just
