B	that man's been along here with his strimmer look at the sides
B	did you see the guy leave
C	I didn't no
A	can't say I did either
C	the roads are very straight aren't they?
B	well I suppose so
A	this to the right isn't what they're calling the River Mirna is it?
B	does it not say?
A	this map's not good enough to tell you
C	yeah but can you imagine leathers in this this temperature?
A	yeah but can you imagine having no skin left in this temperature?
C	okay
B	leathers don't protect you from everything have you seen your grandad's scar?
A	yeah on his shoulder
B	tore through his leathers didn't it?
A	goes through yeah
B	it certainly does
A	did they do a skin graft for that or did it just grow back?
B	no it just er
A	it was quite bit it
B	had lots of dressings on it and
[ANNOTATION]	leathers is not protective for everything	Entailment
A	when
B	dressed it
A	when when did he do that?
[ANNOTATION]	grandfather has a scar on the shoulder	Entailment
B	I can't remember it was a long time ago
A	mm
B	while you've been born though
C	how long did it take him to get back into the car?
B	straight away really
A	yeah but did he do that on a motorbike?
B	no
C	no
B	a car
A	in his car?
[ANNOTATION]	he did it in a car	Entailment
B	he can tell you exactly what happened
C	he told me he like he went over a big you know like a bit of a hill? and he said that it's like infamous for like flipping people out cos as you go up the hill like your your front end lifts lifts up like that and as the wind catches you it like spins you over basically
A	yeah
C	and he went over it too fast and the wind caught over his thing cos you know this
A	flat
C	yeah so it was like flipped him basically
C	well you have spoiler in the front don't you
A	yeah
C	if it's flat
[ANNOTATION]	the car is red	Neutral
A	I don't fancy that
B	oh lordy lordy
A	bet in these forests you can find truffles
B	yeah I bet there's more there than the find actually
A	yeah I'm sure there are if only we had Bill
A	he'd probably just find it and then go gulp
C	gulp yeah
[ANNOTATION]	there are few truffles in the forest	Neutral
A	and it would be gone
A	yeah
C	but it's not just cockers I think
A	it was
B	no
A	a Labrador on that poster this morning
B	it was yeah
A	I don't know I don't think it's a real river really I think it's well it looks completely manmade
B	well it is a river
A	yeah
B	there's obviously fish in it
A	we can try yeah why would that not have worked
B	there was no sound
A	there was no sound and it played two seconds and then froze
C	the only thing I can think is the file has been corrupted but that's all I can think
A	right well it happened to both of them
C	probably it
A	I wasn't streaming it I'd downloaded it to like the Iplayer
C	I know but it works
A	thing
C	if your IP so it
D	I think it does now yeah
A	right
C	you watched erm oh you know that the new the bloke who's rumoured to be James Bond?
B	yes
A	Tom Hiddleston?
C	yeah
B	I watched the night
C	Night Manager
B	night watchman
C	Night Manager
B	was yeah Night Manager
D	supposed to be good that one
A	it was very good well I I can't the ending was the ending disappointing? I can't remember
B	no it was scary
A	oh yeah
B	had me on pins
A	the ending was good yeah the ending was good
B	it was a good ending
A	it was a good series
B	well I thought he was good in it
A	yeah but I couldn't
B	but he's just
A	imagine him acting anything else other than like pompous British private schoolboy
B	you're just upset cos he might be James Bond
A	I know I don't want him to be he's not good enough
B	he was on the radio he was quite articulate actually
A	I'm sure he was
B	articulation
A	articulation not articulateness
C	what on what on earth can that mean
A	oh like like that he's
B	he did he
A	that that he's paid for his
B	Eton
A	yeah
B	he did he went to Eton
A	and I I knew he'd have been to Eton just from his just from listening to him I mean the the that his accent his dialect
C	oh right
A	is the result of
B	is la-di-da
A	his education yeah
C	oh did you know did you know he's going out with Taylor Swift?
A	I know
A	very disappointed with that and she's a bit she only split up with the last one two weeks ago
C	I don't know that but
A	she was going out with do you know who Calvin Harris is?
C	oh he's a DJ and he does all the
A	yeah
A	she was going out with him
B	they say going out they've probably just been on a date haven't they?
A	they are they've been oh holiday together they've photographed them on holiday
B	oh right
A	they've been together about I dunno six months something like that and then two weeks later she's snogging Tom Hiddleston
B	they've got a truffle restaurant there
A	have they?
C	it's a shame that we're living in a society where
B	mm
C	you know like people like
A	don't think people quite live for it but
C	be surprised
A	my nan maybe
C	no but things like there's there's you know Hello that's just basically gossip isn't it?
A	yeah but you're what are you doing reading the Daily Mail then and believing what it says in the Daily Mail?
C	hang about what has gossip got to do with the Daily Mail?
A	well I'm just saying about about people reporting rubbish so the same thing
A	okay alright then I thought you were reading it
C	no
B	how many miles have we done
D	since we left home?
B	no no no you know since we got the car
A	Jesus they're so close
D	dunno
C	do you know whether The Times is like which
B	mm
A	I thought it was Labour
D	yeah it's a bit independent but probably bit right of centre
