B	hollyoaks
A	you watch Hollyoaks?
B	er well it's the one I like
A	do you? Oh no
B	I don't watch er I don't listen to the storyline
B	yeah
A	so why do you hate Eastenders? Is it cos it hasn't got any pretty girls in?
B	because no because it's no er I don't mind they're just so miserable in it
A	mm
B	moaning and
B	real life
A	is Hollyoaks more realistic?
B	no not at all
B	I don't think any of them are realistic
A	totally
B	oh I know
A	isn't it?
B	it's all
B	oh you wanna turn it of?
A	no
B	it is mute isn't it?
A	no
[ANNOTATION]	Person a is going to swim	Contradiction
B	that's it
A	no I used to watch Eastenders before I moved to Spain
B	uh-huh
A	but I think it was just because er that's what you did after tea
B	yeah
A	but I don't even have a TV now and I don't miss it
B	I used to like Coronation Street
A	yeah
B	mm
A	no I
[ANNOTATION]	Person A is not sure about the Coronation Street	Neutral
B	uh-huh
A	I like those cos you can decide when you wanna watch them
B	yeah
A	and
B	yeah
[ANNOTATION]	Person B is agree with Person A	Entailment
A	that's good
B	loose Women
A	no
B	I hate that programme as well
A	anything to do with pets
B	there is good stuff
A	pet Rescue
[ANNOTATION]	Person A like pets	Entailment
B	there
A	is that comedy?
B	yeah
A	yeah
B	comedy
A	they do comedy well
[ANNOTATION]	Person A like comedies film	Neutral
B	and the um tut the one with the the programme with the school kids in it
A	um
B	do you know what I mean?
A	was that the one where they had a film out
B	yes
A	with
B	they've just done a
A	yeah
B	went to  Went to Went to  Benidorm or something
B	and naughty lads
A	yeah
B	is this all we're doing is it? Just having a conversation?
A	yeah
B	is that what what's it for then?
A	for um speak er they're like
B	uh-huh
A	they base what they teach on what is actually in use
B	what is being said
A	yeah
B	yeah
A	what's what's being said
B	so er we have a conversation sin palabrotas
B	is that right?
A	sin palabrotas
B	sin palabrotas
A	although yesterday I was um recording a mate
B	yeah
A	have you met
B	no
A	and he was effing and blinding
A	um
A	no
B	er we er
A	no no no no
B	no
A	so yeah he lives up the road actually
B	oh right  Oh right
A	he was like I didn't realize how much I swore until I started
B	well I I I
B	I I'm I've got two daughters and I very rarely
A	you're a gentleman
B	but er I don't like swearing in front of women
A	mm
B	A lot of men do
A	yeah
B	yeah
A	uh-huh
B	I don't know why
B	and I don't like it particularly
A	yeah
B	but as I say if I'm out and er with the lads I'm the world's worst or
B	mm
A	I'm doing driving lessons at the moment for the first time
B	mm
A	do something I'm like oh
B	yeah yeah
A	and I'm like oh sugar
B	so are you er you're learning to drive?
A	yeah
B	oh
A	last week
B	yeah
A	yeah
B	skate through the theory test
A	I hope so
B	Cos you'll do the work won't you
A	what was that for?
B	for speeding
A	uh-huh
B	and that means you're banned
A	huh
B	and you have to take your test again
A	oh no
B	yeah
A	blimey
B	he had to take his test again
A	mhm
B	yeah it was both times was on the M54
A	was he speeding a lot or?
B	no
A	fff
B	rather the
A	uh-huh
B	but they still done him
A	nightmare
B	yeah
A	tut
B	so
A	so has he done?
B	you've gotta be careful of that
A	uh-huh
B	you'll have to take it again
A	really careful
B	yeah
A	it's difficult sometimes though isn't it
B	very
A	to see where the to just I mean were there was it signposted? The speed limit?
B	oh no doubt
A	mhm
B	yeah oh sorry
A	mhm
B	then all of a sudden it changes it to thirty miles an hour
A	mm
B	because there's an old people's home
A	oh right
B	on er the right
A	oh dear
B	and I didn't believe it actually until they sent me the photo
A	oh
B	yeah
A	yeah
B	A day's training
A	yeah yeah yeah
B	now the day's training er you it's only available in Lancashire and er and um
A	isn't it
A	uh-huh
B	Staffordshire and Lancashire were is the piloted scheme
A	uh-huh
B	they're the only apparently the only counties that do this scheme
B	so it's comme ci comme ça
A	uh-huh
B	er anyway the guys who did the course who like they they'd drive and what they'd do their function in life is training fast response drivers for the fire service the
A	uh-huh
B	the police and rapid response at airports and all that
A	ah
B	they're really good
A	uh-huh
B	and it was brilliant
B	and er we we were top of the class
A	oo
B	thought it was so chuffed like
B	and then you do a hundred per cent absolute
B	we were  We were  reformed reformed
A	er so what do they teach you on this course?
B	well it's just really good because they take you round
A	mhm
B	or
A	uh-huh
B	so and like you're
A	mhm
B	and a little kid run out
A	yeah
B	imagine if you hit one?
A	yeah
B	you know
A	I quite like driving quite slowly at the moment
B	oh you will
A	driving up to forty when it's when you can but
B	yeah
A	mhm
B	you know
A	really?
B	I had three tests when I was er yeah three three tests
A	uh-huh
B	and it was er in them days it wasn't so hard
A	uh-huh
B	and er
A	what did you have to do back then then?
B	well there was no theory test
A	no?
B	there was no checking the oil and water and stuff
A	oo God
B	you have to open the bonnet don't you I think
A	I think so
B	part of the test now isn't it? Also er the gear changing was different because er nowadays it's you're taught cos I've taught I ended up teaching both my daughters to get them I both got both my daughters through the test
A	yeah?
B	because they were doing they both were doing hopeless with the instructors
A	mm
B	so then it was down to dad
A	mhm
B	but
A	uh-huh
B	you I don't know whether you've been taught that?
A	yeah
B	but that's allowed now
A	oh
B	yeah er yeah yeah
A	and what was the reasoning behind that?
A	oh okay
A	mhm
B	the cars have moved on haven't they?
A	mm
B	since my Morris Minor
A	I've got a friend who wants to she's got a Morris Minor in her back garden
B	mm
A	she wants to do it up and
B	it's no road tax on it
A	no
B	no no well yeah if it's over twenty-five years old yeah
A	uh
B	but they they're not very environmentally friendly
A	oh right
B	but how badly is the condition of it?
A	I'm not sure actually
B	yeah
A	really?
B	mm
A	what like as a collector's item?
B	er no no
A	or as a drivable?
