A	so what shall we do go swimming?
C	definitely can't go swimming
C	it's got one of those crazy beaches though that's like shallow for fucking ages
A	oh yeah
C	so you can just like walk out for like half an hour
B	like wade
C	and just like that's
B	what do you do wade?
A	what's that?
B	I don't know sounds like
C	wade them
A	did you just drink that?
C	yeah
C	I accidently on New Year drunk a half pint there was like this buffet and I had like a pint glass and I was so drunk that my friend just kept putting the buffet in it and I never realised
A	what was the buffet?
C	like sausage rolls and like
B	like food and stuff
[ANNOTATION]	they are talking about food	Entailment
C	little
A	put booze in it
C	yeah true
B	it doesn't even have a straw that's lame
C	I know it's like definitely was like sausage rolls hitting me in the face while I was drinking
C	so that was gross and then I lost a wrestling match to a girl
C	then I fell in
[ANNOTATION]	they are talking about food	Entailment
A	you fell in a what?
C	I tried I made a date with a sixty-year-old woman to go skinny dipping on New Year's Day
A	it's a great line
C	and exposed
A	to the village
C	yeah we were at like
B	for New Year?
C	yeah
B	where?
C	in
B	what where?
C	she's got this this house that's insane so it's like you know the
B	mm
C	it's just like basically you go down this like National Trust path that's like five minutes' walk from the cliffs it's in like National Trust land it's next to
A	yeah
C	but her dad is like this
[ANNOTATION]	they are talking about diet	Neutral
A	and like a not like a good one
C	yeah he's no he's like he's a terrible businessman but still makes like millions of pounds
A	what like morally bad but
C	no he's just bad a he's just bad a business and no one likes him
B	oh shit
[ANNOTATION]	they are talking about one person that is businessman	Neutral
C	so he basically anyway but he was having like this affair with like a couple of women in the village
B	ah
C	yeah and then my friend
B	does
C	yeah
[ANNOTATION]	they are talking about a couple	Neutral
B	and she doesn't care
A	as do you
C	no she doesn't care like well he's not married to her mum but erm but my friend
B	mm you'll still haven't told her you've ruined her dad's life
C	yeah
B	have to get round to it next
C	I mean it can't be that ruined like there's been
B	it can't be that ruined if it was already bad
C	yeah
B	can't ruin something that's already
A	so what kind of like
B	I've never been there
C	didn't go inside
A	no I don't mind
C	there's this
A	got a pool table in it?
C	dunno there's this arcade
A	what you just sit there?
C	you just sit there there's not even a screen even you just sort of like sit on the motorbike and don't go anywhere it's like a motorbike on treadmill basically it's pretty shit I went to
C	and none of the machines work in the arcades but they don't put out of order things on them and I was like I
B	it's well out of order
C	it's well out of order and I complained cos I'm like in to complaining these days
B	and didn't want it
C	yeah no I didn't and my friend got the same ice cream and got loads of pistachios on it and I moaned and they overheard me moaning and they're like do you have a problem? I I like really I was like that's really unfair you got loads more pistachios and then the guy was like do you want more pistachios I'm like yeah and he bought me another ice cream with loads more pistachios on it and then I got the bill and he charged me for two ice creams this is such a boring story
B	he charged you for two ice creams?
C	yeah and they were like seven pound each so I like complained and then he gave me another free ice cream and I was like
A	so you got you got two you paid for two and you got three
C	I paid for one and I got three
A	oh
C	and loads of pistachios so then I was complaining totally works so I complained about the arcades
B	where where were you?
C	at
B	erm yeah also if you get if you if you like
C	really?
B	well like cos obviously his staff were like totally took it it was quite funny actually like I'll make it a short story but she she he had this member of staff working who was always always always stitching him up like come in late not show up and like sort of lie about it to get out of shifts and stuff and then the
C	yeah
B	she didn't change it in any way but the main thing that she did wrong just cos it was like supposed to have been in January like twenty
B	he was like
C	hasn't happened yet
B	no cos it's like a leap year it's like the one so it actually doesn't exist
C	oh
B	it's like so I got this email that you sent either three years in the past or when you're in the future but either way like it didn't come through yeah anyway so he was like look we were like you can't have the shift off and like you've obviously sent me this like really awful lie like she didn't say anything she didn't go to work to the shift and then
A	physical warning
B	not matter what physical warning
A	you have to do a warning can you do like a written warning and then like just ten minutes later fire them?
B	I don't think so I think I don't know actually I don't know bit there's a definite like clear thing that you have to do and he didn't do it so
C	what so then he?
B	so then she wins man he has to pay her stiff
C	how much?
B	well it's like they're closing the restaurant in three weeks anyway so it's like the rest of the shift that she would have done
C	oh is it at thingy?
B	Railroad yeah so that's three weeks' worth of work erm and then I think you have to do like severance pay so he reckons about six hundred quid could be worse but like also sucks just to have to give it to her she's like
C	what a dick for actually pursuing it as well
C	I'm sure like you know when like mad like people in really urban corporations get like fired cos they're like fucking prostitutes and then they get like two million pounds severance I'm sure people just do that on purpose
B	hard to get another job then though
C	don't need it when you get get like
