C	it's so upsetting
A	fester
C	fester
A	erm
C	to shovel the food?
A	to shovel
C	mm
A	no I've got the fish for next for second dinner
C	mm
C	yeah just tell that you hate her
A	mm
C	right
A	yes
C	mm
A	so when we're both we both have to play the game of just nod and she might stop speaking soon and realise that she's the only one that's been talking in this conversation
C	yeah those people never get the hint though do they?
A	no
C	is she the older one that's got the kids? No
A	no kids
C	mm
A	well no you're thinking of
C	mm
A	she's on team Amy though
C	oh
A	mm
C	mm
A	has gone down to
C	somewhere west
A	somewhere
C	oh right
A	or like
C	but you don't know
A	I don't know
C	right
A	erm I mean I'm the only person that knows that that's the part of her personal development plan to go and work in a cluster cos she just works for
C	mm
A	usually sales managers manage a couple of hotels so she's had a really easy ride of it
C	oh that's interesting
A	yeah
C	no
A	whereas
C	mm
A	so that's how she's ended up being so good
C	mm
A	but she's basically passed it off to everyone else as if they've requested her to go and sort it out
C	she's a nob
A	mm
C	well at least that gets her out your hair for two weeks
A	mm
C	mhm
A	she's been in sales for a year and a half
C	is that it? She's already a sales manager
A	mhm
C	mm
A	her figures aren't high enough
C	mm
A	she's just been fortunate
C	yeah
A	mhm
C	yeah but it still doesn't seem fair though if you're the in a different department and that option isn't available to you and you're working your arse off for little credit
A	mm
C	mm
A	and she's like that
C	bitch
A	I know
C	there's no sense of like unity then is there
A	no
C	yeah fair enough
A	yeah
C	mm
A	and we'll get to it when I get to it
C	mm
A	Cos she just says it
C	mm
A	and we have to put contacts together for her when she should be able to do a contract herself
C	she doesn't want to do it
A	so she doesn't want to do it
C	mm
A	she's just doing it to be
C	mm
A	and that's another thing
C	yeah?
A	Cos
C	what?
A	yeah
C	mm
A	and
C	mm
A	so
C	right
C	she is a douche
A	yeah and she said
C	okay
A	so there's a big massive
C	mm
A	yeah
C	no
C	oh what a nob
A	yeah she's so  she's so  bad
C	mm
A	and it works for her career like being that type of person is great for sales
C	mhm
A	Cos you pass the buck
C	yeah yeah
A	but I just can't understand how you could be that awful
C	mm
A	yeah
C	you couldn't pay me enough
A	yep
C	mm mm
A	I just thought of something
C	what did you think of?
A	I wonder if there's some type of sexy underwear
C	oh where can we get that from?
A	from
C	mm
A	and you even if you could see it
C	mm
A	yeah I love birthday shopping
C	have a little drink somewhere
A	yeah
C	shopping and drinking
A	always a winner
C	and birthday
A	I really want to open my ring
C	oh how exciting
A	yeah
A	it nearly got opened
C	but it will be here for Saturday
A	yeah
C	are you going to just wear it for best
A	no
C	no
A	I want to wear it all the time but I can't wear it for work
C	mm
A	it's to go here
C	okay
A	and it will go next to the gold band
C	mm
A	yeah I really want it
C	lovely
A	and this one was for eighteenth and this one was for Christmas of twenty first and that one's for the twenty fifth
C	perfect
A	yep
C	go Dad
A	yeah
A	like the clasps are on show and they shouldn't be and it's not finished perfectly
C	mm
A	it's really nice
C	you never get what sorry?
A	the stone it's lapis lazuli
C	mm
A	which is why this is a er sapphire
C	not amber
A	they do it with
A	really
C	yeah
A	bloody buggers
C	but then  but then  it would be just your own
A	of secret wonderfulness
C	that everyone would be really jealous by
A	erm
C	yourself
A	that's fine by me
C	that's more than enough
A	that's enough people for me to
C	yeah
A	Cos I I mean I sound like I don't like being around people
C	yeah
A	it's just that I always hate it when you have to herd people around
C	yeah
A	if someone goes to the toilet and then three people go to the toilet and there's four of you stood and whereas if it was a small group then you would be with people the whole time
C	yeah
A	so I think I'll text
C	yeah
A	and
C	yeah cos I thought you weren't going to invite any of them cos then at least that's safe
A	yeah
C	well if you're going to invite any of them then yeah
A	yeah
C	it's a tough one though because you shouldn't
A	yeah I mean if it was just her then fine but she doesn't go anywhere on her own
C	yeah
A	yeah yeah he's nice
C	really? Is that because she's never really liked it or she's just got old?
A	just got old
C	naff off
A	in fact what I might do is maybe tomorrow at work say we're gonna go out on Saturday
C	yeah
A	we're gonna probably have some drinks at the hotel first
C	yeah
A	and then at least no one feels like they have to
C	yeah
A	mm
C	Cos if we were
A	yeah and we can start the
C	and we can
A	yes and do the nails
C	yeah do the nails
C	mm all that stuff
A	yeah
C	Cos it's your birthday
A	I don't think
C	baby
A	I don't know
C	is she going to come?
A	I don't know
C	yeah absolutely
A	oh no I forgot about this devil lettuce
A	I mean it is dying now I must admit it's on it's last legs
C	it's a risky business
A	the lettuce of death
C	erm
A	what time do you think is appropriate time?
C	be at the hotel for seven do you think? It depends if you want to eat
A	yea I was going to say
C	no
A	Cos I I'm I'm not really one for like eating and then drinking cos then I'll feel full and I'll feel flat
C	it depends what time you go out
A	yeah
C	make a little buffet
A	yeah with the Italian hams
C	and prawns with chilli sauce
A	and prawns with chilli sauce
C	Cos I have prawns and we can  we can  get the chilli sauce cos we have chilli
A	we can make a good chilli sauce or buy the chilli sauce
C	mm
A	or leave here at seven say
C	yeah
A	come around if you want to or meet us there
C	yeah
A	yeah
C	Cos that's the thing
A	yeah
C	yes
A	obviously erm
C	that will need to happen
A	it's that I I want to be able to enjoy having a drink
C	mm
A	nail painting
C	ah
A	I mean I don't know how you do that because I just was picking my nail polish off and that happened by accident
C	right
A	but erm you know
C	we could  we could we could  attempt
A	guides
C	some guides
A	erm yeah so what I could do is erm make a list of all the things I need
C	yeah
A	and then on Friday when I get paid go and pick the stuff up in my lunch break and or after work because I finish at five
C	mm
A	and then
C	yeah
A	they're not going to mind are they
C	well the shops
A	on Friday?
C	yeah I don't know what time the shops in town close
A	could go in my lunch
C	you could go in your lunch
A	yeah
C	yeah then you'll have to cart them around on
A	yeah
C	yes yes
A	Cos if I choose choose other things
C	mm
A	I do have a little gold handbag
C	yeah mine died
A	do you think I can wear the
C	for the wedding
A	yeah yeah
C	I mean the only thing is once they go you look like Nora Batty
A	yes that is an issue
C	Cos then
A	they can come off
C	mm
A	if I get a quite like a a white off white blazer
C	mm
A	and wear
C	mm
A	so if I get a gold bag at least that will go with the gold sandals for the wedding
C	yeah for wedding
A	and the gold one to
C	lovely
A	that could be a winner
C	oh my dress
A	and the new dress
C	and the new dress
A	yeah
C	okay
A	I love your pink dress
C	and it did look nice with the tan
A	the tanage
C	and obviously that's the thing
A	yeah
C	mm
A	and I said she'll probably wear the pink one but it's it's a spring it's a really nice formal dress that could be either a winter one or a summer one
C	yeah
A	I mean you could wear that dress in July
C	yeah I suppose that's it is quite versatile
A	yeah
C	but maybe I need to get some silver things or gold things
A	some silver or some gold yeah
C	erm I think I'm seeing one of the
A	right that's exciting
C	he has three motorbikes
A	right
C	the thing is I fear that their personalities might get confused like I might
A	yes
C	Cos I might say stuff to him that is for the other guy
A	yep
C	but that's just the risk you take
[ANNOTATION]	they are not sure about risk	Neutral
A	which I can understand seeming as
C	yeah yeah yeah yeah
A	oh yeah
C	my concern is he is wearing his jumper around his shoulders which is a bit of a  thing to do
A	mm
C	he looks quite nice
A	I like six foot two
C	Cos it's not too  it's not too  like with
A	mm
C	it's nice isn't it
[ANNOTATION]	they are talking about weather	Contradiction
A	I want to bite it
C	yeah cos he's got like proper proper pecks and stuff so
A	mm
C	it's quite good
C	erm but he doesn't live
C	those places that are called
A	yes
[ANNOTATION]	person Cis talking about places	Entailment
C	so I think if he comes to
A	mhm
C	erm so he's gonna get a hotel
A	fine
C	so he should do that
A	mm
C	and he says he's been a few times
[ANNOTATION]	person C is not sure about how times	Neutral
A	no
C	he's he's pretty keen
A	it's so hard to read somebody isn't it
C	yeah
A	you've got to wait for
C	yeah and it could go either way
A	er awesome
C	Good
[ANNOTATION]	he is keen	Entailment
A	I do like the loads of salt yes
C	mm
A	the thing is I'm a bit dubious about signing up for dinner
C	yeah
A	mm
C	the unions on fire
A	mhm
