B	so you had a good time then yesterday didn't you?
C	yeah it's it was good it was nice to just get out and
A	was it?
C	er
A	is it still national
C	yeah it's still National Trust
A	oh that's okay so you couldn't park there?
C	I did I found a
B	mm
A	especially for you
C	especially for me found a space just for
A	did you?
C	yeah
B	mm
C	and then er I walked along the front and just it was really good just being a good boy not buying anything
A	you didn't buy anything?
C	no
A	toasted tea cake you had
C	I had a toasted tea cake
A	come on
C	cup of tea
B	that's allowed
C	it's allowed to have tea and a toasted tea cake
B	it's allowed when you're out
C	and then I'd gone to
B	no
A	you didn't
C	there's a couple of things that I would like to have brought but I didn't
B	yeah
C	I just didn't I just didn't buy it er I went into the the
A	can you? yeah yeah
C	so I went in to see what they've got just out off the
B	yeah?
C	so I asked how much it was for a month it's a hundred and eighty pound for a month
A	is it? oh
B	mm
A	and then to they take any money if they sell them
C	they don't take any commission
A	they don't? no
B	mm
C	they don't take any commission they just whatever you sell is yours
A	yeah
C	so you would have to sell
B	that's quite a lot
A	you'd have to sell quite a bit wouldn't you?
B	mm
C	yeah
A	how many pictures can you put in? what will fit on a five-foot wall
C	it depends on how you sort em out doesn't it?
B	you have to keep loading it up if they do sell
C	yeah you got to have something to replace them with
A	mm
B	yeah
A	they take them away do they? straight away?
C	yeah
A	yeah
C	yeah
A	it's a very er upmarket area is
C	you'd have to you'd have I mean I looked at there's a photography gallery in
A	yeah
C	a a proper photography gallery which is kind of
A	oh right and he charges
C	then he charges for your printing
A	yeah
B	oh yeah
A	why does he have to print it?
C	because it's a good quality print cos he's
B	that is
C	yeah
A	yeah yeah
B	yeah
C	and I'd seen a picture there was a picture in the window a a long picture of Wales and I got a much better picture I know it's my picture but I have a much better picture than the one that's in that window
A	yeah?
C	they want a hundred and ninety pound for it
A	what?
B	wow
A	wow
B	and they're quite big?
C	yeah
A	about three foot across
B	mm
C	probably yeah
B	I wonder how much they charge as well to print out
C	yeah
B	yeah mm
A	mm
C	so
B	so yeah
C	you kind of think mm yeah well
B	not many people
A	point is how many do they sell?
C	oh I was in the there was when I was in there were a lot of people in there looking round
A	yeah
C	and I then I went into the at the bottom of
A	yeah
C	and there's two shops side by side both galleries one is little one's a bit low market compared to the other one
B	yeah
C	that's the thing and I went it and it was it was busy
A	was it?
C	it was busy and people were talking and they were talking about the artists and they were talking about where it was and how it had come about and
B	oh
C	it's one of so many and oh that's Hampstead Heath and this is here and
B	mm
A	yeah
C	you know and he's got the he you know we're talking three to four hundred pound for a print
A	yeah
C	you know? one of fifty prints
A	yeah
C	well known
A	yeah
C	and you're thinking yeah okay
B	yeah
A	yeah there's lots of money up that part of the woods
B	mm
C	I looked at I mean there's also a
A	rent yeah
C	thousand pound a week
A	yeah
C	alright you you know it might be for eight people so then it's not so much type thing but you're thinking
B	yeah
A	a lot of money innit?
B	mm
A	is a lot of money
C	you know if they if they rented
A	you've got to buy your own food haven't you? to get
C	you know if they're renting that out over a period
A	of three months innit
C	of three months
A	yeah
C	that's twelve thousand pound
B	mm
A	yeah yeah
B	yeah if you've got the capital and you're able to do it that's it really isn't it?
A	yeah
B	huh yeah
C	you know and when I was in
A	yeah yeah
B	yeah
A	yeah
B	mm
A	but not on the north
C	yeah and the thing is I I don't I I was walking round and there was a cottage in
A	no
C	it's not like I want to live in Settle
A	no no that's right yeah
C	totally different feeling
B	mm
A	yeah
B	no
A	but then I mean that's calling you back cos that is your sort of home really innit? up that area
B	yeah you do feel at home up there don't you?
C	yeah
B	mm
A	yeah
C	I do feel at home
B	mm
A	uh
C	and then you know it's like mm so when I went into
A	yeah
C	and it was a nice pot of herbs I think there must have been round about six different herbs within this half barrel type water thing
B	yeah
C	and it was nice it was nice and I thought I might I'm gonna and then I thought no I'm not
C	when will I when will I use them
A	yeah
C	what's the point when will I use them because I won't
A	no you won't no that's true
C	and it was like
B	and will you be able to take it with you?
C	and there was no and there was no point
A	no
B	mm
C	there was just no point at all
B	yeah
A	these these people that viewed the house they're
C	oh the people that viewed the house aren't they guy who came on Saturday morning with his two children and him he hasn't come back and they were with Brooks in
A	yeah
C	so they've not
A	oh I see yeah
B	mm
C	but this other couple that came from
A	was it
B	oh
A	oh right what's got to be updated then?
B	makes you wonder if they find anywhere doesn't it you know? these people are
A	yeah but when people do buy a house I mean they do update it their self because they
B	yeah
A	yeah
B	that's what I meant really you know
A	everyone's set on everyone put the mark on their house don't they?
B	mm
C	yeah you know I'm thinking well I you know I know that a little but needs to be updated like the kitchen I've said that all along haven't I? but I'm not going to do the kitchen
A	well if you do the kitchen they'd probably come along and say they're going to they want it different won't they?
B	yeah
C	you know I don't know and it just kind of and my
B	mm
A	mm
C	apart from you you know
A	yeah
C	but you're buying the house you're buying the garden you're buying
A	what it is yeah
B	yeah
C	what it is
A	yeah
C	you're not buying it cos you haven't to to do anything when you move in
A	well the majority of people know they're going to do something to the house when they move in don't they?
C	yeah
B	and the area is nice and the
A	schools are
C	yeah
A	brilliant schools aren't they right right on top of you
B	yeah it's
A	and and the facilities in a village are fantastic
C	yeah
B	mm mm
C	you know and I just thought you know what is it? yes the outside of the house needs painting
A	yeah
C	but
A	oh right yes
C	right
B	okay
A	now is that accessible easily for for the kitchen? you got to think moving food from one place to the next I mean that's a really handy dining room that is
C	yeah but
A	and you got to go down the corridor
C	well you just got to come out the kitchen down the thing haven't you?
A	yeah
C	you know so it's not that far
B	yeah yeah
A	no that's not far no
C	and put the dining room in where the lounge is
A	yeah
B	mm
C	move the
A	so you're you'd have the lounge and the conservatory wouldn't you?
C	you'd have the dining room and the conservatory
A	yeah you'd have the dining room and the conservatory yeah
B	yeah that that could work actually cos
A	that could work yeah
B	the size of your what your dining room now is kind of more open isn't it? and the other one's quite narrow which a table in there would look quite good wouldn't it? look very good
C	yeah yeah
A	yeah
C	you know
B	yeah
A	and what about the office that come off it?
B	yeah
C	well that's quite handy off the dining room isn't it?
A	yeah yeah
B	mm yeah
C	you know cos these people that walked these people that walked round on Saturday
B	oh right
A	did they?
C	and I'm thinking you can see it's there this is my size sofa
B	yeah
C	that is in there
A	they banged their leg?
C	yeah
A	well that's cos they're looking like that walking through aren't they? they're looking up in the air
C	yeah
B	yeah
C	so if I put that so if I put that in there and put painted the painted the dining room magnolia
A	yeah
B	yeah
C	with the brown sofa
A	yeah
C	settee colours
B	yeah that would
A	yeah that would work wasn't it? yeah
B	alright and then put the telly in the corner of the room
A	yeah
B	mm
C	so you can see it as just needing to be moved round as such
A	yeah yeah
B	you could still have a small table in there anyway if you wanted to couldn't you? if you wanted to go sit there and the formal dining
C	yeah but I'd just keep yeah I'd just keep it like that I could have a small table in the kitchen couldn't I?
A	yeah
B	it's a big lounge isn't it?
A	yeah it is a big lounge
B	I mean it's a lot bigger than this
C	it's probably the same size as this
A	yeah
B	no it's bigger cos you've got you've got a settee haven't you? and a television and you got a table
A	yeah
B	big window huge window
A	yeah
C	so that's what I'm thinking of doing
A	yeah
B	well if you want any help moving anything
C	thank you
A	yeah and what about all that stuff you got to move out of the loft for Ebay
C	that's what I've got to do
A	you have I'll come give you a had
C	thank you I got to sell some stuff
B	we'll come and help cos I know you you know you there's a limit to what you can do on your own isn't there? we'll come and help whenever you want us to
A	stick it on Ebay how much you got up up in the loft?
C	I I think a lot of its empty boxes or stuff that we probably needs to be chucked away
A	yeah but you got to have that empty boxes for when you're moving
C	yeah but
A	yeah
C	take my study apart completely put the desk back at the end where I used to have it
A	yeah
C	I don't know
A	yeah yeah it is
B	yeah
