D	tablet case or
A	yeah yeah yeah yeah
D	phone case but still be able to prop it up my
A	yes
D	and my current tablet's in a huge great case which has a a swirly so that I can I can do it landscape or portrait
A	yes
D	cos I watch videos read through the
A	mm mm
D	but the the the case is it it's huge and annoying and heavy and it makes it more difficult to carry the tablet around and kind of defeats the object of it being small and light
A	well exactly
D	erm
A	mm
D	but if you want a
A	mm
D	it just doesn't work
B	mm
D	so
B	so that's how you get round that problem
D	yes
B	fantastic idea
D	it and
B	cos er I find that so annoying myself
A	I love this stuff
B	as well I I
D	you can sit
B	yeah you can sit it up like that
A	sit with your Kindle
B	yeah
C	oh oh
B	that's that's lovely
C	oh
D	and it's just
C	so why didn't you tell me
B	yeah
C	about one of these? my eyes my hands go
B	because I'm always doing this
A	thought of you see
B	oh
C	well thank you darling
A	she she brought two of them
C	ah
A	there you go
A	that's right
D	you see I was waiting for it
B	well
A	well why didn't I think of
A	cos I I love it because it's so simple isn't it?
C	mm
D	yes it's
A	just
D	it's it's really nice I've seen some others but the the the thing I really liked about that one is because it's erm er the er the bits are aluminium
B	yeah
A	yes
D	so it's got a little bit more
B	that's that's right
D	robust
B	yeah
A	yeah yeah rather than the their brittle plastic stuff
D	yeah I mean it's plastic round the edges but it's
A	what's er what's the brand? night
D	Nite Ize
A	Nite Ize Nite Ize
D	they predominantly do erm hiking gear so
B	oh right
D	torches and
B	do they?
D	er erm erm erm just random stuff things like erm carabiners for putting your keys on
B	oh yeah
A	yeah okay
B	yeah yeah
D	so I I mean I use them I I I've bought them bought all sorts of stuff from them
B	yeah
D	prior to this
A	then you just
D	but I happened to see that and went
B	that's brilliant
D	that's what I need I need that
B	yeah
D	erm
A	brilliant
D	and I I could find them and they were all er ten pounds a shot and it was like oh mm and I can't get them out here easily and all of that
B	yeah
D	and I happened to er go and look erm and Blacks had a sale on and they were a fiver
B	oh wow
D	and I went
B	so you got
D	I'll get two
A	there you go
A	so if we go to Blacks if
B	but the so
A	see if we can find mm
B	that's good to know
A	mm
B	I might order some and get some when I go over to England
D	yeah they
A	for sure
A	yeah
B	that place
D	truly amazingly good thing and
B	yeah
D	I'm I'm really pleased with it because yeah just occasionally you wanna sit on a and and you've got
B	you do
D	you've got a table and you've got a drink and
B	yeah
D	you you don't want to have another hand
A	you don't want to
B	yeah
A	use your other hand
D	yeah
A	that's a common problem isn't it?
D	and
A	yeah
D	the thing I found erm
B	yeah
