B	american society
A	yes no it was um
A	mm
B	the countryside versus rich cities
A	yep
B	and the whole sort of the er the sort of states versus federal government
A	mhm
A	yeah
B	um
A	and I quite like the idea of taking sort of Jerry Springer like a step too far
B	oh yes it did
A	the idea of entertainment sort of yeah
B	suffering
A	suffering
B	well that I mean that's nothing new
A	yep
B	they've done shows er they've done films and television programmes based on taking reality TV too far
[ANNOTATION]	Suffering as a sort of entertainment is not a new idea.	Entailment
A	oh yeah
B	before
A	I don't think that was the main point but it did sort of made me think of that actually that bit which was
B	yeah indeed
B	oh police cars
B	waiting for
B	that would be really funny if the
B	sorry can't get out
B	um that was yes
A	yeah it was um
B	well I think the idea
[ANNOTATION]	The TV show about police cars showed how they make the bulletproof windows.	Neutral
A	or
B	of being which was only mentioned very briefly that you can trade sort of increased odds for food
A	right
B	um
A	which was presumably why that guy had so many?
B	yes
A	I didn't know if it was a kind of punishment
B	no I think it was
A	yeah yeah I think it's supposed to be buying them
B	yeah
A	and
B	mm
A	all that kind of idea and the sort of um playing the media
[ANNOTATION]	They were sure it was some type of punishment.	Contradiction
B	er yes er
B	um
[ANNOTATION]	B thinks that no shows are actually based on reality TV.	Contradiction
A	she'd have been fine
B	I've no idea
A	yeah
B	um but it
A	I I was just like as I was watching it I I wasn't sure whether it was gonna be kind of say three films for for the whole story or whether they were gonna stop halfway through the game
B	well no that would've
A	doing that cos that would've been yeah
[ANNOTATION]	It's technically supposed to be selling them, not buying them.	Contradiction
B	far too
A	exactly
B	um
A	er and then I didn't know if it was different people each time and just a sort of different storyline
B	yeah
A	so I assume it's gonna be the same people
A	yeah
B	yeah
A	as a sort of
B	mm
A	yeah
A	just a to keep  to keep  sort of milking that one
B	yeah
A	you know sort of play with it
B	what was I gonna say? Um
A	mm
B	well no but there's obvious reasons for it
A	mm
B	then that means you have good odds of surviving the first half
A	and then you
B	which you then split split up again
A	mm
B	um but
A	it relies on other people playing fair though
B	well indeed you have to
A	someone could gather all the strong people to then kill them all
B	well it would be inherently quite difficult to kill them
A	but then that's the hard bit
A	mm
B	killing her
A	killing her herself cos everyone else was doing it
B	I think that's quite predictable
A	yeah
B	but I assumed that the friend was gonna be killed
A	yeah
B	it was a surprisingly yeah that was a very sort of yeah this is a book for sort of children as in this is that was a very positive ending to it
A	yes exactly
B	um similar strong female lead
A	yeah
B	and um two potential male love interests
A	yeah
B	er
A	who look like they would actually murder each other
B	well no but who
A	one gets a bit hairy at night
B	yeah
A	one's a bit pale
B	no she's finally a vampire now
A	I love that we're the same temperature
A	know what I mean
B	yes we've got markedly different thermal capacities
B	so therefore we contain different amounts of stored energy
A	yeah
A	oh my goodness
B	it was a bit unfortunate
A	I dunno
A	oh hilarious
A	yeah you no not in a cinema
A	yeah um apart from being quite Twightlighty it was good
B	yeah indeed it was
A	as in it wasn't all er while they had that element of it it wasn't all moony and kind of oh I love you
B	no it was very good
A	it was  it was  kind of and I mean is the interesting thing is as well that she's was she playing it? Was she doing it to survive? And what's gonna happen cos
B	no I don't think so because if she was doing it to survive she would have killed him at the end
A	no but I mean she could
B	no but she
A	yeah
A	she she could've not wanted him to die but she I mean she might not be in love with him
B	well no but that's quite a step to
A	no
B	I think you might be overthinking this a bit
A	I dunno
