A	so erm yeah it's this poetry by heart competition and basically you have to like recite two poems
B	yeah
A	and then you get judged on your like understanding of it and your performance of it
B	oh okay
A	yeah they've got like this selection online so it's other people's poems you recite
B	yeah yeah
A	erm and yeah it sounds quite interesting and then you kind of progress through stages so if like I think it might only be one winner from the school it might be two then you go to like the regional ones and then
B	right yeah
A	bigger ones
B	so you're you're just keeping to the same two poems throughout the heats then they're not going to ask you to do
A	ah I'm not sure I think maybe when you get to like the semis or something you can change them
B	right
A	but erm
B	but why would you when you've analysed and
A	well no you might you might have to change them when you get to the finals to show that you can actually change it up a bit
B	yeah right yeah
B	ah right so
A	no cos I didn't have the link to it before but I've emailed the lady at my school who's doing it who's also my English language teacher
B	yeah
A	I thought she hadn't emailed me back so I went to my English lit teacher who told us about it in the first place so then I was like oh I emailed the lady but they didn't email me back
B	mm mm
A	and she was like oh well there's some information here oh well ask her about it and then I got home and I checked my email and she had emailed me back the other day
B	whoops
A	whoops
B	ah
A	yeah it was it was at the weekend so
B	ah well
B	yeah
A	yeah
A	yeah
B	yeah
A	yeah
B	oh well that'll be good it'll be good to get involved in some more performance
A	yeah
B	you know well I know it's not it's slambassadors or
B	yeah yeah
A	it'll be it'll be good I don't know what the prize is if there's a prize I'm sure there is some kind of prize
B	yeah but that's not what motivates you though is it?
A	no I just want recognition
B	ah so is anyone else in your class interested in doing it?
A	no it'd be really awful if I was the only person who turned up but it would also be great that
A	yeah
B	well there's bound to be loads in there you've got more than one English class haven't you?
A	yeah that's true
B	yeah
A	and like it's open to everyone I guess
B	yeah
A	the second years as well I imagine so
B	yeah yeah
A	there's quite a few
B	ah
A	but er yeah it's
B	oh that'll be good then
A	should be interesting yeah oh I didn't no it's not tomorrow it's Wednesday I've got the
B	yeah what this? so UCLA er UCL
A	UCL
B	I want to say A but it's not yeah University College London I don't know I think the American thing
A	yeah what are you thinking of you are thinking of something
B	UCU CLA is that an American university?
A	U there is something
B	yeah
A	I'm not sure what it is
B	yeah
A	but yeah
B	oh well that'll be great are you are you going to have to get up really early for that?
A	I think the train's at like eight fifteen it's not that early
B	it's not too bad is it? gosh
A	like the same time I
B	yeah yeah
[ANNOTATION]	both are speak about studies	Entailment
A	bit later depends do I need to wash my hair that day
B	oh
A	no so
B	oh there you are
A	I mean I could probably get up at seven to be honest if I rush myself a bit more I'm quite lazy and and
