Mother	where does he go to church , Susan ?
Susan	xxx .
Mother	can you take your fingers out_of your mouth so we can hear you
Susan	no .
Mother	you don't hafta be shy .
Mother	did you see stars yesterday .
Susan	yes .
Mother	can you name some of the stars or the planets that you saw ?
Susan	mm .
Susan	Mars , Jupiter and mm world .
Mother	the earth .
Father	did you see any dippers ?
Mother	just one of us is sposta talk .
Susan	the globe .
Mother	the globe , the earths you mean the earth that you saw the united
Susan	&-uh huh .
Mother	no .
Susan	I didn't see any of those , I just saw the earth , Pluto , and Mars
Mother	Mars , that's good .
Mother	did you see stars or are they stars , &-uh !
Mother	I don't know .
Susan	they're not stars .
Mother	they're not . they're planets .
Susan	mhm .
Mother	alright , right .
Susan	they're stars or they're suns .
Mother	did you ask Mr Jones any questions ?
Susan	nope .
Mother	you didn't raise your hand ?
Susan	nope .
Mother	and ask questions ?
Mother	did +...
Father	who's Mr Jones ?
Susan	he's the owner of the place .
Mother	does he , he's the owner , do you think he is the teacher at the
Susan	I don't know .
Mother	wasn't it at a big school at Northside high school ?
Susan	yeah .
Mother	it was .
Mother	did you see the big children at school .
Mother	were they as big as , did you not see other teenagers ?
Susan	no .
Mother	like Stephanie , like Leslie , or Ann ?
Susan	no , we just saw ourselves .
Mother	just yourselves , &-uh huh .
Mother	did any of the children ask questions ?
Mother	did Wyatt ask a question ?
Susan	no .
Mother	no .
Susan	Joel did .
Mother	Joel did ?
Susan	&-uh huh .
Mother	oh , Susan , did Christopher ?
Susan	no .
Mother	had he been studying the planets and the stars ?
Susan	no .
Mother	he wasn't ?
Mother	I thought Christopher might have a question or two .
Susan	no .
Mother	did you ride on the bus ?
Susan	yes .
Mother	tell me something about the bus .
Susan	there's nothing to tell about the bus .
Mother	can you tell me whose mothers went with you ?
Susan	I forgot .
Mother	you did ?
Mother	would you tell me about Sassie , please ?
Susan	Sassie . Sassie +...
Mother	Mrs +...
Susan	oh , yeah .
Mother	who is Sassie ?
Susan	Gretchen's dog .
Mother	&-uh huh .
Mother	tell me something about her .
Mother	what color she is , how big .
Susan	black .
Mother	she is +...
Susan	black .
Mother	&-uh huh .
Mother	how big ?
Susan	black .
Mother	I don't know how big that is . how big is that ?
Susan	that big .
Mother	mm .
Susan	wait .
Susan	no , that big .
Mother	what does she do ?
Susan	I don't know .
Mother	you don't ?
Susan	no .
Mother	can you tell +...
Susan	most of the time she sleeps .
Mother	she sleeps ?
Mother	why is that ?
Susan	who knows ?
Mother	is it because she's a baby dog ?
Susan	she's not a baby .
Mother	I thought she was a puppy .
Susan	yeah .
Mother	isn't that like being a baby dog ?
Mother	a puppy is a baby dog .
Susan	yes .
Mother	okay , what else would you like to talk about ?
Susan	I don't know , oh +...
Mother	tell Daddy what Rich did this afternoon .
Mother	what did he and Scotty , and Mark , and Brian , and Lori do down at
Susan	mm .
Susan	I forgot .
Mother	Susan , tell Daddy about this afternoon .
Susan	I don't know .
Mother	can't you tell him what happened ?
Susan	okay , what happened ?
Mother	well , just what they did .
Susan	oh .
Mother	Daddy doesn't know .
Susan	oh , is he going to . see , they +...
Mother	tell Daddy .
Susan	sold some stuff .
[ANNOTATION]	daddy doesn't know	Contradiction
Father	they what ?
Susan	sold some jelly+beans and some koolaid .
Father	stole some stuff ?
Susan	sold !
Mother	sold .
Father	what did they sell ?
Susan	can't you hear ?
Susan	I said they sold jelly+beans and koolaid .
Father	I never heard of that .
Susan	you're weird .
Father	weird ?
Father	you're little  bitty .
Father	why did they sell jelly+beans ?
Susan	they just wanted to sell the stuff .
Father	did anybody buy them ?
Susan	yes .
Father	who did ?
Susan	me and Kim &-um buyed it twice .
Father	you and Kim what ?
Susan	buyed it twice .
Mother	yes , Ma'm .
Susan	cough , cough in our house and parents colored lines who tell you
Susan	brush their bread and brush their teeth and went to bed .
Susan	they frowned at xxx the and frowned at the bed ?
Mother	slow down .
Mother	I can't understand you .
Mother	what you're saying .
Susan	and sometimes they will even say they left the house at half past
Susan	good morning , children , and sunshine , the littlest one , was
Mother	Susan , slow down just a little bit , okay ?
Susan	she loved the xxx and she loved to smell nice .
Susan	the zoo and the big lion said +"/.
Susan	+" poo_poo .
Mother	and nobody knew so well how to .
Susan	frighten Mr xxx in the middle of the night . Miss Correll turned
Susan	soon as Dr Turnstill +/.
Mother	wait a minute .
Mother	what did Madaline do ?
Susan	she sat in bed . Madaline sat in bed and cried and cried .
Susan	soon as Dr Turnstill arrived , he called Danten .
Susan	d [the alphabetical letter] a [the alphabetical letter] n [the alphabetical letter] .
Mother	ten six .
Susan	ten six .
Mother	nurse .
Susan	nurse , this is an a . &apen a . appendix .
Mother	&-uh huh .
Mother	okay .
Susan	which one ?
Mother	right here .
Susan	everybody was +...
Mother	hadta cry .
Susan	hadta cry . there was not a single +...
Mother	dry eye .
Susan	dry eye .
Susan	she was wrapped up in a blanket .
Mother	safe and warm .
Susan	safe and warm . she , I , what ?
Mother	in a car .
Susan	I was in a car .
Mother	with a +...
Susan	with +...
Mother	a red light .
Susan	a red light shining in the night .
Mother	very good .
Susan	and when I woke , when I woke up , there was stars in the room and
Susan	which one ?
Mother	no , Madeline soon .
Susan	oh , Madeline soon ate and drank and noticed there was a prank on
Susan	there was a shape of a rabbit .
Mother	yes .
Susan	oh .
Mother	outside were +...
Susan	birds .
Mother	and +...
Susan	flowers and sunshine .
Mother	&-uh huh .
Susan	Miss Corballis said , wouldn't this be a nice day to go visit madam
Mother	mm .
Mother	you finished both sentences already . that's good .
Mother	where did they go from here , Susan ?
Mother	what are they doing ?
Susan	smelling flowers .
Susan	Denton .
Mother	oh , visitors .
Susan	from two to four .
Mother	&-uh huh .
Mother	read a sign .
Susan	outside the door , and they tiptoed solemn .
Mother	solemn face .
Susan	and they tiptoed inside solemn face .
Mother	they walked in +...
Susan	when they walked in , they +...
Mother	said +...
Susan	said .
Mother	ah .
Susan	ah .
Mother	when they saw . what are these ?
Susan	toys .
Mother	and . .
Susan	candy .
Mother	and a +...
Susan	doll+house .
Mother	from who ?
Susan	xxx .
Mother	from Papa .
Mother	but the biggest surprise .
Susan	was +...
Mother	on her .
Susan	on her stomach there happened to be a scar .
Mother	a what ?
Susan	scar .
Mother	that's right , okay .
Mother	goodbye , I can't see it .
Susan	goodbye , they said , and they left in rain , they brushed their
Susan	Miss Corballis turned on the light and said something is not right
Susan	not right . she ran faster and faster .
Susan	what is the matter , children ?
Susan	we want our appendix out , too .
Susan	good_night , girls .
Mother	little girls .
Susan	little girls .
Mother	thank the Lord you are well , and now go to sleep , said Mrs
Mother	and closed the door and that's all .
Susan	the end .
Mother	there is , there isn't any more .
Mother	that's right , that's good .
Mother	do you wanna read three pigs ?
Susan	three little +...
Mother	three little +...
Susan	yeah .
Father	why ?
Father	begin Dad .
Susan	I wanna .
Father	well , let's put it down right here , and you read it to me .
Susan	not read it , look at it .
Mother	you hafta talk about it .
Father	why don't you wanna read it ?
Susan	I wanna talk about it .
Father	well , talk .
Amye	that's good , that's fine with me .
Amye	talk about it , instead of read .
Father	well , talk .
Susan	talk about what ?
Father	how about that weasel !
Father	man , is that a weasel ?
Susan	no .
Father	what is it ?
Susan	a weasel .
Father	what is a weasel ?
Susan	mm , a , a rat .
Father	an animal &ngers out_of your mouth .
Father	he was doing what ?
Susan	the rat ?
Father	yeah .
Father	what's the rat doing ?
Susan	holding his hand out .
Father	I know , but what does he got on his back ?
Susan	mm , rope .
Father	no , what is that .
Susan	oh , straw .
Father	and what is he going to do with it ?
Susan	give it to the pig .
Father	he is going to give it to him .
Father	did anybody give you any jelly+beans today ?
Susan	yes .
Father	thought you hadta buy them .
